"strain","SEQUENCE","atbr_count"
"GCA_013899145.1_ASM1389914v1","CP057846.1",1
"GCA_013899165.1_ASM1389916v1","CP057840.1",9
"GCA_013899185.1_ASM1389918v1","CP057842.1",9
"GCA_013900245.1_ASM1390024v1","CP057977.1",3
"GCA_013923405.1_ASM1392340v1","CP058071.1",4
"GCA_013996855.1_ASM1399685v1","CP058033.1",2
"GCA_014109005.1_ASM1410900v1","CP058047.1",1
"GCA_014109005.1_ASM1410900v1","CP058048.1",7
"GCA_014109025.1_ASM1410902v1","CP058053.1",1
"GCA_014109025.1_ASM1410902v1","CP058054.1",7
"GCA_014109065.1_ASM1410906v1","CP058075.1",3
"GCA_014109085.1_ASM1410908v1","CP058073.1",4
"GCA_014109105.1_ASM1410910v1","CP058077.1",4
"GCA_014109125.1_ASM1410912v1","CP058079.1",4
"GCA_014131555.1_ASM1413155v1","CP048861.1",8
"GCA_014131595.1_ASM1413159v1","CP048866.1",2
"GCA_014131615.1_ASM1413161v1","CP048868.1",3
"GCA_014168595.1_ASM1416859v1","AP021915.1",12
"GCA_014168675.1_ASM1416867v1","AP021934.1",6
"GCA_014168735.1_ASM1416873v1","AP021945.1",1
"GCA_014168755.1_ASM1416875v1","AP021948.1",1
"GCA_014168835.1_ASM1416883v1","AP021999.1",1
"GCA_014168935.1_ASM1416893v1","AP022031.1",4
"GCA_014168955.1_ASM1416895v1","AP022033.1",1
"GCA_014168975.1_ASM1416897v1","AP022037.1",1
"GCA_014169015.1_ASM1416901v1","AP022045.1",2
"GCA_014169095.1_ASM1416909v1","AP022065.1",9
"GCA_014169115.1_ASM1416911v1","AP022070.1",13
"GCA_014169155.1_ASM1416915v1","AP022096.1",1
"GCA_014169155.1_ASM1416915v1","AP022097.1",1
"GCA_014169195.1_ASM1416919v1","AP022106.1",1
"GCA_014169275.1_ASM1416927v1","AP022121.1",1
"GCA_014169275.1_ASM1416927v1","AP022122.1",1
"GCA_014169415.1_ASM1416941v1","AP022162.1",9
"GCA_014169435.1_ASM1416943v1","AP022172.1",1
"GCA_014169455.1_ASM1416945v1","AP022174.1",1
"GCA_014169475.1_ASM1416947v1","AP022178.1",8
"GCA_014169575.1_ASM1416957v1","AP022208.1",10
"GCA_014169595.1_ASM1416959v1","AP022218.1",9
"GCA_014169615.1_ASM1416961v1","AP022223.1",3
"GCA_014169615.1_ASM1416961v1","AP022224.1",1
"GCA_014169695.1_ASM1416969v1","AP022246.1",6
"GCA_014169695.1_ASM1416969v1","AP022247.1",1
"GCA_014169695.1_ASM1416969v1","AP022248.1",6
"GCA_014169695.1_ASM1416969v1","AP022249.1",2
"GCA_014169775.1_ASM1416977v1","AP022263.1",2
"GCA_014169855.1_ASM1416985v1","AP022288.1",1
"GCA_014169895.1_ASM1416989v1","AP022296.1",2
"GCA_014169915.1_ASM1416991v1","AP022300.1",5
"GCA_014169995.1_ASM1416999v1","CP054283.1",2
"GCA_014170595.1_ASM1417059v1","CP059905.1",1
"GCA_014170595.1_ASM1417059v1","CP059906.1",2
"GCA_014170615.1_ASM1417061v1","CP059909.1",3
"GCA_014170675.1_ASM1417067v1","CP059919.1",5
"GCA_014170695.1_ASM1417069v1","CP059923.1",2
"GCA_014170695.1_ASM1417069v1","CP059924.1",3
"GCA_014170975.1_ASM1417097v1","CP059948.1",4
"GCA_014171015.1_ASM1417101v1","AP022090.1",2
"GCA_014171015.1_ASM1417101v1","AP022091.1",1
