GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,125
GCA_014169115.1_ASM1416911v1,plasmid_novel_5c80c4830b8e7b9254dd4e88fbd2a6a6,AP022069.1,115
GCA_014169115.1_ASM1416911v1,plasmid_AB446,AP022073.1,99
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022070.1,73
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022069.1,82
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022070.1,89
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022070.1,95
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022069.1,146
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022069.1,170
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022069.1,170
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022069.1,173
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022070.1,173
GCA_014169115.1_ASM1416911v1,plasmid_AA735,AP022070.1,173
GCA_014131575.1_ASM1413157v1,plasmid_AE638,CP048863.1,49
GCA_014131575.1_ASM1413157v1,plasmid_AE638,CP048863.1,59
GCA_014131575.1_ASM1413157v1,plasmid_AA162,CP048864.1,68
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,36
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,37
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,39
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,40
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,41
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,43
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,46
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,47
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,48
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,52
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,56
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,56
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,57
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,66
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,66
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,66
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,66
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,67
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,68
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,70
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,73
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,73
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,73
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,73
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,73
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,82
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,82
GCA_013749295.1_ASM1374929v1,plasmid_AA579,CP056526.1,60
GCA_013749295.1_ASM1374929v1,plasmid_AG799,CP056525.1,61
GCA_014169275.1_ASM1416927v1,plasmid_AC529,AP022125.1,64
GCA_014169275.1_ASM1416927v1,plasmid_AA159,AP022123.1,55
GCA_014169275.1_ASM1416927v1,plasmid_AA474,AP022122.1,20
GCA_014169275.1_ASM1416927v1,plasmid_AA474,AP022120.1,72
GCA_014169275.1_ASM1416927v1,plasmid_AA474,AP022120.1,72
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,22
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,43
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,44
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,48
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,57
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,69
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,69
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,83
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,83
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,85
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,85
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,85
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022120.1,85
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,85
GCA_014169275.1_ASM1416927v1,plasmid_AF232,AP022120.1,79
GCA_014169275.1_ASM1416927v1,plasmid_AF232,AP022120.1,80
GCA_014169275.1_ASM1416927v1,plasmid_AA579,AP022124.1,61
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,19
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,59
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,59
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057970.1,59
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057971.1,59
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057970.1,65
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057970.1,65
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057970.1,65
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,73
GCA_013900205.1_ASM1390020v1,plasmid_AA313,CP057971.1,14
GCA_013745955.1_ASM1374595v1,plasmid_AD448,CP056357.1,33
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,27
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,36
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,41
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,43
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,49
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,60
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,63
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,63
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,67
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,67
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,68
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,68
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,73
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056357.1,73
GCA_013745955.1_ASM1374595v1,plasmid_AA579,CP056360.1,57
GCA_013745955.1_ASM1374595v1,plasmid_AA525,CP056359.1,56
GCA_013745955.1_ASM1374595v1,plasmid_AF243,CP056357.1,69
GCA_013745955.1_ASM1374595v1,plasmid_AF243,CP056357.1,69
GCA_013745955.1_ASM1374595v1,plasmid_AF242,CP056357.1,51
GCA_013745955.1_ASM1374595v1,plasmid_AF242,CP056357.1,52
GCA_013745955.1_ASM1374595v1,plasmid_AF242,CP056357.1,64
GCA_013745955.1_ASM1374595v1,plasmid_AF242,CP056357.1,64
GCA_013745955.1_ASM1374595v1,plasmid_AF242,CP056357.1,82
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,24
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,67
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,69
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,52
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,53
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,59
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,60
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,60
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,71
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,71
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,71
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,76
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,76
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,76
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,77
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,77
GCA_014169455.1_ASM1416945v1,plasmid_AA579,AP022176.1,101
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,42
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,55
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,88
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,95
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,107
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,114
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,129
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,59
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,70
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,81
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,97
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022173.1,123
GCA_013834305.1_ASM1383430v1,plasmid_AA159,CP057457.1,38
GCA_013834305.1_ASM1383430v1,plasmid_AA304,CP057456.1,19
GCA_013834305.1_ASM1383430v1,plasmid_AA304,CP057456.1,57
GCA_013834305.1_ASM1383430v1,plasmid_AA304,CP057455.1,57
GCA_013834305.1_ASM1383430v1,plasmid_AA304,CP057455.1,57
GCA_013834305.1_ASM1383430v1,plasmid_AF232,CP057455.1,46
GCA_013834305.1_ASM1383430v1,plasmid_AF232,CP057455.1,46
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,39
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,83
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,84
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,85
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,90
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,94
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,98
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,101
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,102
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,103
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,105
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,107
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,107
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,115
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,115
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,116
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,116
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,120
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,123
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,124
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,124
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,125
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,127
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,129
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,129
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,129
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,130
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022179.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,132
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,134
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,134
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,134
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022179.1,77
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022179.1,88
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022179.1,113
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022177.1,133
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022177.1,133
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022177.1,133
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022177.1,133
GCA_014169475.1_ASM1416947v1,plasmid_novel_c192f1520a902a565bed58f739f08888,AP022177.1,133
GCA_014169475.1_ASM1416947v1,plasmid_novel_3f2ab018548bbfeb5dab63a1a4aa1660,AP022179.1,63
GCA_014169475.1_ASM1416947v1,plasmid_novel_3f2ab018548bbfeb5dab63a1a4aa1660,AP022177.1,93
GCA_014169475.1_ASM1416947v1,plasmid_novel_3f2ab018548bbfeb5dab63a1a4aa1660,AP022179.1,95
GCA_014169475.1_ASM1416947v1,plasmid_novel_3f2ab018548bbfeb5dab63a1a4aa1660,AP022179.1,108
GCA_014169475.1_ASM1416947v1,plasmid_AA149,AP022181.1,97
GCA_014169475.1_ASM1416947v1,plasmid_AA579,AP022182.1,100
GCA_014169475.1_ASM1416947v1,plasmid_AA977,AP022180.1,92
GCA_014168675.1_ASM1416867v1,plasmid_AB957,AP021934.1,41
GCA_014168675.1_ASM1416867v1,plasmid_AB957,AP021933.1,53
GCA_014168675.1_ASM1416867v1,plasmid_AB957,AP021933.1,53
GCA_014168675.1_ASM1416867v1,plasmid_AB957,AP021933.1,53
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,26
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,36
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,39
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,40
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,42
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,46
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021933.1,49
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021933.1,49
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021933.1,49
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021933.1,55
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021933.1,55
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,56
GCA_013815235.1_ASM1381523v1,plasmid_AA475,CP057134.1,25
GCA_013815235.1_ASM1381523v1,plasmid_AA475,CP057134.1,31
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057135.1,22
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057134.1,39
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057134.1,50
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057134.1,50
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057133.1,62
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057133.1,62
GCA_013815235.1_ASM1381523v1,plasmid_AA318,CP057134.1,70
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056874.1,49
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,58
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,70
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,75
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,75
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,75
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,75
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,75
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,84
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056874.1,87
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,87
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,89
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,89
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056874.1,89
GCA_013795795.1_ASM1379579v1,plasmid_AA941,CP056873.1,98
GCA_013795795.1_ASM1379579v1,plasmid_novel_4204f75c392bde35a1d1663c61906664,CP056874.1,48
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,33
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,51
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,53
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,56
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,64
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,64
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,66
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056873.1,73
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056873.1,73
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056873.1,73
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,74
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,74
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,74
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,74
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,79
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,80
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,80
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,81
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,91
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,95
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,96
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,97
GCA_013795795.1_ASM1379579v1,plasmid_AG799,CP056874.1,50
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,22
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,37
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,41
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,48
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,65
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,65
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057885.1,65
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057885.1,65
GCA_013899605.1_ASM1389960v1,plasmid_AB442,CP057887.1,46
GCA_013899605.1_ASM1389960v1,plasmid_AF190,CP057885.1,38
GCA_013899605.1_ASM1389960v1,plasmid_AF190,CP057885.1,49
GCA_013899605.1_ASM1389960v1,plasmid_AF190,CP057885.1,49
GCA_013899605.1_ASM1389960v1,plasmid_AF190,CP057885.1,56
GCA_013899605.1_ASM1389960v1,plasmid_AF190,CP057885.1,56
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,45
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,52
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,57
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,68
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057398.1,70
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,70
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057397.1,75
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,75
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057398.1,88
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,88
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057397.1,89
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,89
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057397.1,92
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,92
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,93
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,95
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,96
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,96
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,97
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057398.1,103
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,103
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,43
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,51
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,71
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,76
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,91
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057398.1,91
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,98
GCA_013830785.1_ASM1383078v1,plasmid_AA474,CP057400.1,107
GCA_013830785.1_ASM1383078v1,plasmid_AC510,CP057401.1,72
GCA_013830785.1_ASM1383078v1,plasmid_AA179,CP057398.1,49
GCA_013830785.1_ASM1383078v1,plasmid_AA179,CP057398.1,50
GCA_013830785.1_ASM1383078v1,plasmid_AA179,CP057398.1,56
GCA_013830785.1_ASM1383078v1,plasmid_AA179,CP057398.1,60
