"Sample","SPECIES","MLST-type","previously_failed","Total length","# contigs (>= 0 bp)","# contigs (>= 1000 bp)","# contigs (>= 5000 bp)","# contigs (>= 10000 bp)","# contigs (>= 25000 bp)","# contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 1000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","# contigs","Largest contig","GC (%)","N50","N75","L50","L75","# N's per 100 kbp"
"ECO-JSC-RGN-105295","ecoli","2450.0",TRUE,4903117,213,186,131,101,67,31,4903117,4885243,4729550,4502634,3926816,2698690,213,209098,50.83,58261,28792,27,58,2.61
"ECO-JSC-RGN-105443","ecoli","10.0",FALSE,4903909,138,117,76,67,47,32,4903909,4889089,4792386,4728723,4414022,3865769,138,263464,50.47,113478,57151,14,29,13.72
"ECO-JSC-RGN-105454","ecoli","2450.0",FALSE,4912530,204,169,121,98,66,32,4912530,4889577,4760524,4586862,4076279,2865182,204,209098,50.84,59235,33464,25,53,7.86
"KLP-JSC-RGN-105204","ecoli","10.0",FALSE,4914435,125,108,72,60,49,26,4914435,4902428,4814116,4726728,4551766,3683215,125,400941,50.67,132454,49715,13,27,4.5
"ECO-JSC-RGN-105234","ecoli","155.0",FALSE,4929695,158,138,104,87,58,31,4929695,4915579,4827755,4700022,4255504,3318199,158,335745,50.74,80106,38889,18,40,3.41
"ECO-JSC-RGN-103689","ecoli","131.0",FALSE,4930159,77,64,49,41,30,26,4930159,4920815,4875256,4819457,4647304,4493670,77,437610,50.74,191771,109255,9,17,1.24
"KLP-JSC-RGN-105170","ecoli","155.0",FALSE,4932999,155,138,106,86,55,33,4932999,4921272,4848537,4700341,4224181,3478803,155,335950,50.75,82473,39558,18,39,2.84
"ECO-JSC-RGN-105247","ecoli","162.0",FALSE,4964893,116,97,75,63,48,26,4964893,4951895,4893281,4804407,4522605,3754453,116,444229,50.63,176214,51480,11,26,5.32
"ECO-JSC-RGN-105244","ecoli","162.0",FALSE,4967988,108,92,70,58,44,25,4967988,4957394,4897161,4806461,4550798,3852910,108,634254,50.63,176854,54951,10,23,5.86
"ECO-JSC-RGN-105250","ecoli","131.0",FALSE,4976658,98,85,71,58,44,32,4976658,4967383,4927437,4842628,4601398,4151630,98,248527,50.69,134325,79283,14,26,9.46
"ECO-JSC-RGN-103710","ecoli","131.0",FALSE,4978416,105,78,49,43,31,23,4978416,4960821,4891719,4845038,4674921,4392117,105,449274,50.66,220217,137827,8,15,4.96
"ECO-JSC-RGN-105243","ecoli","131.0",FALSE,4981470,68,59,49,40,32,26,4981470,4975878,4950981,4893498,4743943,4536172,68,393308,50.69,191132,124499,10,17,5.4
"ECO-JSC-RGN-104552","ecoli","131.0",FALSE,4981879,74,62,50,41,30,25,4981879,4973707,4942829,4880530,4693846,4511890,74,436037,50.7,191127,124499,9,16,5.56
"ECO-JSC-RGN-105248","ecoli","131.0",FALSE,4981960,79,70,57,46,39,30,4981960,4975547,4939505,4865400,4734035,4424461,79,400111,50.7,158854,94552,10,21,7.37
"ECO-JSC-RGN-104555","ecoli","131.0",FALSE,4982310,71,63,51,41,32,27,4982310,4977296,4949092,4881511,4715536,4533606,71,393302,50.69,190912,117324,10,18,7.69
"ECO-JSC-RGN-105245","ecoli","131.0",FALSE,4984124,71,63,52,42,33,26,4984124,4978663,4948765,4877788,4709850,4456973,71,436078,50.7,191132,106053,9,18,10.79
"ECO-JSC-RGN-104553","ecoli","131.0",FALSE,4984285,73,63,50,41,31,26,4984285,4977772,4942325,4881046,4704372,4522394,73,437309,50.69,191127,111692,9,17,5.56
"ECO-JSC-RGN-103705","ecoli","131.0",FALSE,5009782,79,66,51,44,30,26,5009782,5000473,4962559,4913952,4686868,4547426,79,389962,50.74,191612,117024,9,17,6.67
"ECO-JSC-RGN-103746","ecoli","131.0",FALSE,5024271,103,73,48,41,28,22,5024271,5003009,4938800,4888434,4677813,4470376,103,416203,50.79,222123,159030,8,15,0.96
"ECO-JSC-RGN-105253","ecoli","345.0",FALSE,5030158,70,59,39,37,35,26,5030158,5022502,4975234,4960102,4934914,4567310,70,429358,50.66,217693,103726,8,17,3.12
"ECO-JSC-RGN-105290","ecoli","-",TRUE,5030237,104,89,60,54,43,27,5030237,5020207,4952858,4908773,4734916,4113918,104,425121,50.75,152065,70177,10,21,5.65
"ECO-JSC-RGN-103856","ecoli","131.0",FALSE,5031473,82,71,52,44,27,24,5031473,5023417,4970462,4907005,4666483,4558944,82,391227,50.73,196449,136520,9,16,3.04
"ECO-JSC-RGN-105449","ecoli","88.0",FALSE,5036767,68,59,39,37,35,23,5036767,5031182,4985989,4970047,4944974,4491286,68,512096,50.75,203157,132661,8,15,5.52
"ECO-JSC-MOD-104868","ecoli","131.0",FALSE,5040678,75,66,49,44,27,23,5040678,5033866,4984977,4952832,4694953,4572212,75,520672,50.76,218746,136520,8,15,7.16
"ECO-JSC-RGN-103777","ecoli","131.0",FALSE,5041841,91,80,63,52,40,31,5041841,5033755,4990685,4904888,4682372,4335870,91,444167,50.73,138241,87468,12,23,4.7
"ECO-JSC-RGN-103870","ecoli","131.0",FALSE,5046658,85,73,59,54,30,26,5046658,5037957,4997726,4961517,4580825,4432368,85,531528,50.74,190912,108555,9,18,6.86
"ECO-JSC-RGN-103882","ecoli","131.0",FALSE,5047337,169,126,83,70,50,33,5047337,5017370,4921179,4829973,4514487,3867863,169,245485,50.61,109920,53007,16,32,2.6
"ECO-JSC-RGN-103871","ecoli","131.0",FALSE,5048487,85,71,55,48,29,24,5048487,5038323,4989334,4934383,4649146,4466389,85,531295,50.73,190771,117051,9,17,4.99
"ECO-JSC-RGN-103896","ecoli","131.0",FALSE,5051585,89,78,62,54,33,26,5051585,5043537,4998881,4940960,4628332,4356853,89,400402,50.74,186507,109255,10,19,7.21
"ECO-JSC-RGN-103779","ecoli","131.0",FALSE,5057486,129,106,78,67,45,32,5057486,5040984,4966887,4882202,4551252,4112962,129,348056,50.72,126526,73230,14,27,2.45
"ECO-JSC-RGN-103761","ecoli","131.0",FALSE,5059643,107,90,67,57,31,23,5059643,5047140,4985096,4912317,4504176,4240334,107,386938,50.71,184632,103500,9,18,1.58
"ECO-JSC-RGN-105249","ecoli","131.0",FALSE,5062346,81,71,58,49,34,26,5062346,5055273,5020255,4960438,4684951,4397474,81,436026,50.64,191612,93411,9,18,7.64
"ECO-JSC-RGN-105240","ecoli","88.0",FALSE,5063890,110,92,56,45,35,22,5063890,5050741,4966371,4896509,4742652,4271984,110,473770,50.66,219775,95461,8,17,4.96
"ECO-JSC-RGN-105241","ecoli","88.0",FALSE,5065573,106,88,54,44,33,20,5065573,5052830,4976581,4914051,4745170,4252620,106,512217,50.65,257077,108552,7,15,5.76
"ECO-JSC-RGN-103758","ecoli","131.0",FALSE,5068999,94,85,58,47,33,29,5068999,5062112,4996007,4913950,4697312,4551756,94,473995,50.63,173930,114300,10,19,6.63
"ECO-JSC-RGN-104211","ecoli","131.0",FALSE,5072804,122,100,61,50,34,30,5072804,5057138,4964965,4876396,4613852,4476604,122,373772,50.69,168699,94513,11,21,1.24
"ECO-JSC-RGN-105237","ecoli","361.0",FALSE,5080642,115,98,80,74,59,34,5080642,5069042,5018624,4976585,4705538,3821967,115,224376,50.64,104563,51972,17,34,5.39
"ECO-JSC-RGN-103862","ecoli","131.0",FALSE,5085744,85,73,53,45,31,25,5085744,5076670,5021802,4963995,4746882,4529317,85,391232,50.66,191050,124812,10,17,9.03
"ECO-JSC-RGN-104568","ecoli","131.0",FALSE,5097410,98,81,54,46,33,26,5097410,5085733,5007338,4951981,4748108,4505478,98,527550,50.74,180760,124371,10,19,10.87
"ECO-JSC-MOD-104873","ecoli","131.0",FALSE,5104290,67,60,48,44,34,26,5104290,5099168,5063792,5040108,4857304,4583683,67,530051,50.83,187196,124371,9,17,1.41
"ECO-JSC-RGN-103793","ecoli","131.0",FALSE,5105077,97,84,60,52,34,30,5105077,5095829,5034959,4975956,4695381,4550518,97,391237,50.74,174059,86640,11,20,4.54
"ECO-JSC-RGN-103864","ecoli","131.0",FALSE,5106871,97,76,48,39,27,22,5106871,5092361,5013678,4950866,4755878,4566680,97,544518,50.76,221168,147671,8,15,4.72
"ECO-JSC-MOD-104875","ecoli","131.0",FALSE,5108292,76,68,57,51,31,26,5108292,5102596,5077648,5038764,4745009,4552412,76,532511,50.74,185919,115240,9,18,5.32
"ECO-JSC-RGN-104546","ecoli","131.0",FALSE,5109723,87,69,47,42,31,25,5109723,5097433,5033685,4998853,4820288,4615115,87,544155,50.76,186401,123395,9,17,5.44
"ECO-JSC-RGN-103681","ecoli","131.0",FALSE,5111537,97,73,49,46,33,25,5111537,5095729,5027196,5003549,4813632,4528961,97,400231,50.65,191637,115308,9,17,6.91
"ECO-JSC-RGN-105238","ecoli","131.0",FALSE,5113171,126,105,75,66,49,32,5113171,5098667,5015330,4949429,4666597,4050037,126,371180,50.78,117628,56788,14,29,10.66
"ECO-JSC-RGN-104229","ecoli","131.0",FALSE,5116528,138,113,74,59,36,25,5116528,5099018,5008524,4912649,4579167,4181919,138,392507,50.66,186391,75523,10,20,6.66
"ECO-JSC-RGN-104243","ecoli","131.0",FALSE,5132860,97,82,65,55,37,31,5132860,5122394,5069445,4991717,4709638,4500944,97,531491,50.74,149381,93411,11,22,7.73
"ECO-JSC-RGN-105286","ecoli","-",TRUE,5132914,121,101,79,71,46,29,5132914,5118177,5067148,5015346,4608315,4015283,121,423993,50.58,135336,59038,12,26,2.1
"ECO-JSC-RGN-105445","ecoli","162.0",FALSE,5141028,77,67,53,48,40,26,5141028,5134601,5104302,5070444,4940404,4432204,77,472157,50.6,198725,98227,9,18,2.88
"ECO-JSC-RGN-103678","ecoli","131.0",FALSE,5145662,93,81,60,56,37,27,5145662,5136977,5077281,5043745,4724983,4351548,93,339626,50.74,179505,86279,11,20,0.47
"ECO-JSC-RGN-103820","ecoli","131.0",FALSE,5145827,77,62,44,42,33,25,5145827,5135242,5080899,5067886,4926414,4638449,77,391223,50.77,191127,124371,9,17,6.86
"ECO-JSC-RGN-105293","ecoli","-",FALSE,5148402,118,99,63,53,38,26,5148402,5135093,5043455,4972837,4720064,4270189,118,340893,50.79,165520,105560,12,22,5.28
"ECO-JSC-RGN-103890","ecoli","131.0",FALSE,5151648,120,95,63,51,37,28,5151648,5133729,5047294,4961772,4733644,4409642,120,543029,50.77,158814,91608,11,21,5.28
"ECO-JSC-RGN-104549","ecoli","131.0",FALSE,5152907,78,63,47,40,33,28,5152907,5141730,5100771,5051729,4952999,4760751,78,488690,50.67,181422,138023,10,18,3.3
"ECO-JSC-RGN-103841","ecoli","131.0",FALSE,5153802,73,64,46,39,32,22,5153802,5147274,5095270,5042680,4927924,4583603,73,391698,50.72,191127,153296,9,16,8.17
"ECO-JSC-RGN-105452","ecoli","131.0",FALSE,5155099,79,69,46,41,27,21,5155099,5148239,5081437,5047068,4829717,4615289,79,543622,50.79,282757,136519,7,14,10.63
"ECO-JSC-RGN-103688","ecoli","131.0",FALSE,5157289,83,69,49,45,30,23,5157289,5147452,5089227,5060114,4818091,4581801,83,363903,50.75,190890,136519,9,16,6.52
"ECO-JSC-RGN-103687","ecoli","131.0",FALSE,5157932,81,67,48,43,28,22,5157932,5147823,5092428,5055521,4812318,4595991,81,395925,50.75,213254,136519,8,16,6.61
"ECO-JSC-RGN-104210","ecoli","131.0",FALSE,5167044,109,89,60,48,38,31,5167044,5153509,5075727,4983405,4802779,4549765,109,391242,50.71,161933,85630,12,22,7.01
"ECO-JSC-RGN-103801","ecoli","131.0",FALSE,5169620,119,98,69,56,41,31,5169620,5155536,5079877,4986808,4753777,4390721,119,397476,50.75,148354,71654,11,23,6.75
"ECO-JSC-RGN-103752","ecoli","131.0",FALSE,5177541,141,123,82,68,48,30,5177541,5164640,5067039,4961580,4662555,4017001,141,283105,50.64,140543,54845,15,28,2.68
"ECO-JSC-RGN-105291","ecoli","-",TRUE,5178813,138,116,82,68,51,32,5178813,5163375,5080799,4982840,4687862,3932473,138,299608,50.9,126680,50196,14,32,6.41
"ECO-JSC-RGN-105232","ecoli","131.0",FALSE,5178825,72,66,48,41,34,23,5178825,5174100,5118182,5069126,4944039,4525413,72,393475,50.73,191771,117024,9,17,5.43
"ECO-JSC-RGN-105455","ecoli","131.0",FALSE,5180425,78,71,50,44,34,23,5180425,5175336,5112093,5067901,4913857,4494818,78,393465,50.73,191127,115770,9,17,5.31
"ECO-JSC-RGN-105450","ecoli","1115.0",FALSE,5184374,116,91,62,54,46,29,5184374,5168584,5108470,5051368,4908062,4235058,116,423232,50.89,144811,81017,12,24,12.11
"KLP-JSC-MOD-104895","ecoli","131.0",FALSE,5185489,100,75,55,43,29,24,5185489,5167457,5114991,5024834,4820260,4646663,100,544445,50.79,213326,124370,8,16,5.28
"ECO-JSC-RGN-103785","ecoli","131.0",FALSE,5187373,134,102,61,50,36,25,5187373,5165841,5066073,4984103,4787327,4379213,134,428006,50.59,185580,107735,10,19,9.93
"ECO-JSC-RGN-103721","ecoli","131.0",FALSE,5190474,105,78,49,41,31,25,5190474,5172431,5093086,5034288,4874283,4683588,105,488722,50.69,190911,124371,9,17,1.14
"ECO-JSC-RGN-103796","ecoli","131.0",FALSE,5191947,126,97,66,50,35,26,5191947,5170540,5083258,4963414,4726640,4405382,126,373231,50.77,186469,105560,10,19,6.64
"ECO-JSC-RGN-104540","ecoli","131.0",FALSE,5203377,88,74,56,47,33,26,5203377,5192845,5139958,5075397,4857644,4581213,88,624325,50.77,174057,107151,9,18,6.61
"ECO-JSC-RGN-103771","ecoli","131.0",FALSE,5204367,158,137,106,87,55,33,5204367,5189822,5100496,4962580,4461093,3659792,158,199955,50.64,93237,42122,18,39,6.73
"ECO-JSC-RGN-103802","ecoli","131.0",FALSE,5204607,114,89,61,56,41,30,5204607,5186979,5116920,5083739,4872149,4488396,114,306254,50.7,170149,95428,12,21,4.57
"ECO-JSC-RGN-105287","ecoli","131.0",TRUE,5206502,140,116,79,64,44,32,5206502,5189196,5102384,4995950,4677658,4217904,140,332136,50.62,123751,66935,13,27,6.8
"ECO-JSC-MOD-104872","ecoli","131.0",FALSE,5208159,67,55,45,41,33,28,5208159,5199475,5173362,5140536,5045282,4884334,67,382540,50.7,193031,160908,10,17,3.3
"ECO-JSC-RGN-104205","ecoli","131.0",FALSE,5209963,129,114,86,74,45,35,5209963,5199005,5132806,5042345,4577281,4181759,129,284554,50.63,123823,60202,15,31,6.85
"ECO-JSC-RGN-105446","ecoli","131.0",FALSE,5217633,96,80,56,49,30,24,5217633,5207074,5147278,5099952,4786906,4564988,96,421740,50.64,186584,123963,10,18,5.67
"ECO-JSC-RGN-104562","ecoli","131.0",FALSE,5221604,82,75,57,45,36,28,5221604,5216571,5164647,5077831,4950733,4644835,82,336263,50.81,173783,124371,11,20,10.4
"ECO-JSC-RGN-103747","ecoli","131.0",FALSE,5228655,124,104,64,55,35,24,5228655,5215746,5124117,5055446,4740719,4351930,124,447150,50.51,206783,91866,10,19,4
"ECO-JSC-RGN-103754","ecoli","131.0",FALSE,5231670,133,107,70,60,43,30,5231670,5212125,5113311,5037325,4751991,4280282,133,308778,50.72,151430,80512,14,25,2.33
"ECO-JSC-RGN-103797","ecoli","131.0",FALSE,5234097,120,100,62,45,32,25,5234097,5220186,5116759,4996770,4779923,4517861,120,435816,50.65,190121,117051,10,18,4.32
"ECO-JSC-RGN-103817","ecoli","131.0",FALSE,5235430,97,80,61,50,36,29,5235430,5223703,5169424,5089695,4839670,4587484,97,376112,50.57,173863,105065,11,21,6.25
"ECO-JSC-RGN-105252","ecoli","131.0",FALSE,5238280,94,81,64,54,40,28,5238280,5228653,5182269,5106677,4871695,4432929,94,393280,50.7,172734,83286,10,21,6.7
"ECO-JSC-RGN-104212","ecoli","131.0",FALSE,5240549,86,68,50,43,29,23,5240549,5227785,5171817,5128376,4898510,4672358,86,488056,50.61,227264,136519,8,15,8.55
"KLP-JSC-RGN-105203","kpneumoniae","1427.0",FALSE,5243296,67,55,43,39,32,27,5243296,5234587,5208198,5176718,5055239,4867534,67,437337,57.56,204801,134743,10,18,3.41
"ECO-JSC-RGN-104542","ecoli","131.0",FALSE,5243615,81,69,52,49,35,28,5243615,5235185,5188402,5165661,4933334,4669014,81,542982,50.61,173932,111621,10,19,1.32
"ECO-JSC-RGN-104544","ecoli","131.0",FALSE,5244526,84,73,55,51,36,30,5244526,5235914,5181324,5151271,4912873,4707030,84,543072,50.63,165318,101793,10,20,5.13
"ECO-JSC-RGN-103760","ecoli","131.0",FALSE,5244961,124,104,78,71,51,34,5244961,5230342,5168376,5119003,4807668,4199812,124,258102,50.78,117876,66157,15,30,4.35
"ECO-JSC-RGN-103720","ecoli","131.0",FALSE,5245337,96,83,59,48,34,29,5245337,5236318,5165740,5087256,4855457,4674612,96,531143,50.6,173730,109141,10,19,5.78
"ECO-JSC-RGN-103805","ecoli","131.0",FALSE,5246306,116,90,58,48,35,28,5246306,5228723,5145483,5068333,4870317,4604484,116,409483,50.7,182458,96560,10,20,4.08
"KLP-JSC-RGN-105468","kpneumoniae","1427.0",FALSE,5248959,89,74,57,55,42,36,5248959,5238635,5205698,5191115,4960283,4723239,89,239178,57.56,163307,82535,13,25,10.48
"KLP-JSC-RGN-105337","kpneumoniae","1427.0",TRUE,5251671,160,142,113,101,74,36,5251671,5239230,5168411,5081068,4584920,3197802,160,219124,57.56,66980,36555,27,53,6.32
"ECO-JSC-RGN-105289","ecoli","-",TRUE,5257688,163,141,95,83,57,38,5257688,5241675,5121796,5039237,4598844,3967912,163,234117,50.47,97910,56291,20,38,14.63
"ECO-JSC-RGN-104536","ecoli","131.0",FALSE,5259745,112,92,62,50,33,29,5259745,5245217,5170376,5084234,4824844,4681854,112,544486,50.71,180960,99573,10,20,9.11
"ECO-JSC-RGN-103892","ecoli","131.0",FALSE,5265056,136,109,73,59,42,28,5265056,5244012,5159099,5064409,4776202,4277892,136,336376,50.77,129565,87263,13,24,8.81
"ECO-JSC-RGN-103889","ecoli","131.0",FALSE,5267258,121,96,70,65,42,33,5267258,5249245,5177580,5139258,4799358,4493576,121,426679,50.68,140928,76224,14,25,4.99
"ECO-JSC-RGN-103770","ecoli","131.0",FALSE,5268259,108,87,57,49,34,27,5268259,5253368,5176094,5123378,4906983,4664452,108,488688,50.65,173929,123751,10,19,0.97
"ECO-JSC-RGN-105448","ecoli","648.0",FALSE,5271616,134,104,74,64,49,33,5271616,5250870,5170459,5105811,4862264,4276271,134,305218,50.48,125656,66177,14,28,14.76
"ECO-JSC-RGN-105251","ecoli","131.0",FALSE,5273002,86,75,54,48,34,28,5273002,5264750,5205373,5157609,4923484,4701736,86,544297,50.64,190453,109135,10,19,3.32
"ECO-JSC-RGN-103693","ecoli","131.0",FALSE,5276313,105,79,57,53,35,25,5276313,5257932,5200851,5178715,4918867,4557476,105,382634,50.64,179265,113651,10,19,4.09
"ECO-JSC-RGN-105288","ecoli","131.0",TRUE,5281278,146,121,84,72,50,35,5281278,5263458,5166622,5082890,4769285,4234113,146,303857,50.71,121502,58173,15,31,1.8
"ECO-JSC-RGN-105285","ecoli","141.0",TRUE,5283707,137,105,69,61,40,28,5283707,5262150,5184472,5125945,4819148,4397852,137,498318,50.59,167314,92407,11,22,6.25
"ECO-JSC-RGN-105239","ecoli","224.0",FALSE,5285355,105,82,48,37,33,24,5285355,5268612,5191140,5113419,5047240,4693622,105,762943,50.76,227859,133936,8,16,10.77
"ECO-JSC-RGN-105282","ecoli","-",TRUE,5285440,133,100,61,48,39,28,5285440,5262689,5174250,5074920,4947325,4564231,133,348922,50.59,182602,87892,10,20,8.32
"ECO-JSC-RGN-103794","ecoli","131.0",FALSE,5295162,148,113,69,57,39,32,5295162,5269299,5161527,5066107,4785786,4539488,148,371539,50.74,156326,84821,12,23,8.69
"ECO-JSC-RGN-105235","ecoli","131.0",FALSE,5297571,141,113,82,69,47,32,5297571,5276866,5200355,5102870,4744982,4191454,141,370391,50.68,124446,68031,14,29,5.66
"ECO-JSC-RGN-105447","ecoli","131.0",FALSE,5298247,86,69,45,42,29,24,5298247,5286278,5223474,5199743,5023389,4830999,86,488688,50.71,222117,158855,9,16,5.38
"ECO-JSC-RGN-103791","ecoli","131.0",FALSE,5300375,140,114,87,63,38,27,5300375,5281579,5218319,5039705,4602958,4209672,140,478285,50.69,157740,67571,12,24,4.43
"ECO-JSC-RGN-103895","ecoli","131.0",FALSE,5302191,103,76,61,56,39,29,5302191,5283676,5245902,5209384,4955654,4587576,103,488398,50.64,173929,97055,11,21,2.56
"ECO-JSC-RGN-104565","ecoli","131.0",FALSE,5306809,101,79,56,49,32,26,5306809,5291731,5219653,5165323,4907207,4683528,101,544720,50.74,180685,130023,10,18,1.9
"ECO-JSC-RGN-105230","ecoli","131.0",FALSE,5307664,92,76,54,47,32,26,5307664,5296334,5231599,5177220,4952244,4727729,92,489786,50.74,191127,136415,9,17,4.96
"ECO-JSC-RGN-105242","ecoli","73.0",FALSE,5313600,104,88,61,56,41,26,5313600,5302300,5234015,5200053,4949333,4432560,104,439271,50.54,174343,97397,10,20,6.94
"ECO-JSC-RGN-103781","ecoli","131.0",FALSE,5315595,116,95,63,52,35,25,5315595,5301213,5213988,5132553,4864177,4501646,116,511059,50.69,170798,109141,10,19,4.85
"ECO-JSC-RGN-104196","ecoli","131.0",FALSE,5323811,109,98,71,59,38,30,5323811,5316315,5241675,5151679,4801602,4520807,109,361948,50.76,149583,98654,12,23,5.26
"ECO-JSC-RGN-103709","ecoli","131.0",FALSE,5324653,112,84,56,50,35,25,5324653,5305931,5227442,5190253,4954188,4598649,112,425652,50.67,186469,107475,10,19,1.18
"ECO-JSC-RGN-103789","ecoli","131.0",FALSE,5325051,142,121,80,63,45,32,5325051,5309482,5203938,5071333,4775420,4318686,142,477000,50.77,127993,66121,13,27,5.65
"KLP-JSC-RGN-105327","ecoli","-",TRUE,5330902,141,116,72,63,50,30,5330902,5312783,5217515,5152465,4896451,4171110,141,294846,50.5,159002,59891,13,27,2.21
"ECO-JSC-RGN-103684","ecoli","131.0",FALSE,5332746,131,107,63,52,33,23,5332746,5316659,5201961,5123843,4826160,4477425,131,404232,50.51,241937,109279,9,18,2.55
"ECO-JSC-RGN-105441","ecoli","141.0",FALSE,5333146,50,38,29,29,24,18,5333146,5325616,5302174,5302174,5214098,4993902,50,871636,50.63,381212,210586,6,11,7.24
"ECO-JSC-RGN-105444","ecoli","141.0",FALSE,5335669,55,43,31,31,27,21,5335669,5328260,5298321,5298321,5234228,5002225,55,871624,50.63,325802,141126,6,13,5.02
"ECO-JSC-RGN-104232","ecoli","131.0",FALSE,5344559,117,90,66,59,38,26,5344559,5325181,5258617,5209110,4878787,4447447,117,392951,50.63,173932,109261,11,20,1.37
"KLP-JSC-RGN-105458","ecoli","1011.0",FALSE,5346443,100,81,49,41,39,28,5346443,5332438,5262362,5198084,5156741,4739505,100,739906,50.51,209080,90555,8,17,7.14
"ECO-JSC-RGN-103881","ecoli","131.0",FALSE,5350880,208,154,95,78,49,32,5350880,5311893,5164638,5045578,4621590,3994770,208,292383,50.8,110590,47871,17,33,2.67
"PSA-JSC-RGN-105474","kpneumoniae","1565.0",FALSE,5351904,57,49,36,34,30,21,5351904,5346215,5315220,5302210,5234535,4886180,57,495816,57.46,293919,174452,8,13,9.06
"UNK-JSC-RGN-105343","kpneumoniae","1565.0",TRUE,5357303,115,103,86,75,63,40,5357303,5349255,5296952,5203398,4982387,4159975,115,235165,57.48,90847,51554,19,38,9.74
"ECO-JSC-RGN-103833","ecoli","131.0",FALSE,5357562,147,114,79,63,41,31,5357562,5334907,5241276,5133311,4784546,4437108,147,363276,50.55,148679,75007,13,24,0.86
"ECO-JSC-RGN-103834","ecoli","131.0",FALSE,5366237,124,98,67,53,31,25,5366237,5348052,5270319,5170211,4778676,4553084,124,562517,50.55,180026,108328,10,20,2.85
"ECO-JSC-RGN-103675","ecoli","131.0",FALSE,5374664,117,88,62,58,39,26,5374664,5353666,5285374,5258281,4996131,4540064,117,450219,50.66,178539,114146,10,20,6.64
"ECO-JSC-RGN-104224","ecoli","131.0",FALSE,5376985,116,92,72,63,41,29,5376985,5359131,5304477,5239684,4922633,4507897,116,452012,50.66,171766,84454,12,22,6.83
"ECO-JSC-RGN-103679","ecoli","131.0",FALSE,5377223,96,72,53,49,32,25,5377223,5360493,5308120,5281838,5028126,4763237,96,488400,50.58,204741,124092,10,18,0.8
"ECO-JSC-RGN-103701","ecoli","131.0",FALSE,5379052,91,70,52,49,33,27,5379052,5363718,5314587,5291888,5062924,4855094,91,488689,50.58,205278,124677,10,18,2.86
