Sample;SPECIES;MLST-type;previously_failed;Total length;# contigs (>= 0 bp);# contigs (>= 1000 bp);# contigs (>= 5000 bp);# contigs (>= 10000 bp);# contigs (>= 25000 bp);# contigs (>= 50000 bp);Total length (>= 0 bp);Total length (>= 1000 bp);Total length (>= 5000 bp);Total length (>= 10000 bp);Total length (>= 25000 bp);Total length (>= 50000 bp);# contigs;Largest contig;GC (%);N50;N75;L50;L75;# N's per 100 kbp
ECO-JSC-RGN-104555;ecoli;131.0;FALSE;4982310;71;63;51;41;32;27;4982310;4977296;4949092;4881511;4715536;4533606;71;393302;5069;190912;117324;10;18;769
ECO-JSC-RGN-105245;ecoli;131.0;FALSE;4984124;71;63;52;42;33;26;4984124;4978663;4948765;4877788;4709850;4456973;71;436078;507;191132;106053;9;18;1079
ECO-JSC-RGN-104553;ecoli;131.0;FALSE;4984285;73;63;50;41;31;26;4984285;4977772;4942325;4881046;4704372;4522394;73;437309;5069;191127;111692;9;17;556
ECO-JSC-RGN-103705;ecoli;131.0;FALSE;5009782;79;66;51;44;30;26;5009782;5000473;4962559;4913952;4686868;4547426;79;389962;5074;191612;117024;9;17;667
ECO-JSC-RGN-103746;ecoli;131.0;FALSE;5024271;103;73;48;41;28;22;5024271;5003009;4938800;4888434;4677813;4470376;103;416203;5079;222123;159030;8;15;96
ECO-JSC-RGN-105253;ecoli;345.0;FALSE;5030158;70;59;39;37;35;26;5030158;5022502;4975234;4960102;4934914;4567310;70;429358;5066;217693;103726;8;17;312
ECO-JSC-RGN-103856;ecoli;131.0;FALSE;5031473;82;71;52;44;27;24;5031473;5023417;4970462;4907005;4666483;4558944;82;391227;5073;196449;136520;9;16;304
ECO-JSC-RGN-105449;ecoli;88.0;FALSE;5036767;68;59;39;37;35;23;5036767;5031182;4985989;4970047;4944974;4491286;68;512096;5075;203157;132661;8;15;552
ECO-JSC-MOD-104868;ecoli;131.0;FALSE;5040678;75;66;49;44;27;23;5040678;5033866;4984977;4952832;4694953;4572212;75;520672;5076;218746;136520;8;15;716
ECO-JSC-RGN-103777;ecoli;131.0;FALSE;5041841;91;80;63;52;40;31;5041841;5033755;4990685;4904888;4682372;4335870;91;444167;5073;138241;87468;12;23;47
ECO-JSC-RGN-103870;ecoli;131.0;FALSE;5046658;85;73;59;54;30;26;5046658;5037957;4997726;4961517;4580825;4432368;85;531528;5074;190912;108555;9;18;686
ECO-JSC-RGN-103882;ecoli;131.0;FALSE;5047337;169;126;83;70;50;33;5047337;5017370;4921179;4829973;4514487;3867863;169;245485;5061;109920;53007;16;32;26
ECO-JSC-RGN-103871;ecoli;131.0;FALSE;5048487;85;71;55;48;29;24;5048487;5038323;4989334;4934383;4649146;4466389;85;531295;5073;190771;117051;9;17;499
ECO-JSC-RGN-103896;ecoli;131.0;FALSE;5051585;89;78;62;54;33;26;5051585;5043537;4998881;4940960;4628332;4356853;89;400402;5074;186507;109255;10;19;721
ECO-JSC-RGN-103779;ecoli;131.0;FALSE;5057486;129;106;78;67;45;32;5057486;5040984;4966887;4882202;4551252;4112962;129;348056;5072;126526;73230;14;27;245
ECO-JSC-RGN-103761;ecoli;131.0;FALSE;5059643;107;90;67;57;31;23;5059643;5047140;4985096;4912317;4504176;4240334;107;386938;5071;184632;103500;9;18;158
ECO-JSC-RGN-105249;ecoli;131.0;FALSE;5062346;81;71;58;49;34;26;5062346;5055273;5020255;4960438;4684951;4397474;81;436026;5064;191612;93411;9;18;764
ECO-JSC-RGN-105240;ecoli;88.0;FALSE;5063890;110;92;56;45;35;22;5063890;5050741;4966371;4896509;4742652;4271984;110;473770;5066;219775;95461;8;17;496
ECO-JSC-RGN-105241;ecoli;88.0;FALSE;5065573;106;88;54;44;33;20;5065573;5052830;4976581;4914051;4745170;4252620;106;512217;5065;257077;108552;7;15;576
ECO-JSC-RGN-103758;ecoli;131.0;FALSE;5068999;94;85;58;47;33;29;5068999;5062112;4996007;4913950;4697312;4551756;94;473995;5063;173930;114300;10;19;663
ECO-JSC-RGN-104211;ecoli;131.0;FALSE;5072804;122;100;61;50;34;30;5072804;5057138;4964965;4876396;4613852;4476604;122;373772;5069;168699;94513;11;21;124
ECO-JSC-RGN-105237;ecoli;361.0;FALSE;5080642;115;98;80;74;59;34;5080642;5069042;5018624;4976585;4705538;3821967;115;224376;5064;104563;51972;17;34;539
ECO-JSC-RGN-103862;ecoli;131.0;FALSE;5085744;85;73;53;45;31;25;5085744;5076670;5021802;4963995;4746882;4529317;85;391232;5066;191050;124812;10;17;903
ECO-JSC-RGN-104568;ecoli;131.0;FALSE;5097410;98;81;54;46;33;26;5097410;5085733;5007338;4951981;4748108;4505478;98;527550;5074;180760;124371;10;19;1087
ECO-JSC-MOD-104873;ecoli;131.0;FALSE;5104290;67;60;48;44;34;26;5104290;5099168;5063792;5040108;4857304;4583683;67;530051;5083;187196;124371;9;17;141
ECO-JSC-RGN-103793;ecoli;131.0;FALSE;5105077;97;84;60;52;34;30;5105077;5095829;5034959;4975956;4695381;4550518;97;391237;5074;174059;86640;11;20;454
ECO-JSC-RGN-103864;ecoli;131.0;FALSE;5106871;97;76;48;39;27;22;5106871;5092361;5013678;4950866;4755878;4566680;97;544518;5076;221168;147671;8;15;472
ECO-JSC-MOD-104875;ecoli;131.0;FALSE;5108292;76;68;57;51;31;26;5108292;5102596;5077648;5038764;4745009;4552412;76;532511;5074;185919;115240;9;18;532
ECO-JSC-RGN-104546;ecoli;131.0;FALSE;5109723;87;69;47;42;31;25;5109723;5097433;5033685;4998853;4820288;4615115;87;544155;5076;186401;123395;9;17;544
ECO-JSC-RGN-103681;ecoli;131.0;FALSE;5111537;97;73;49;46;33;25;5111537;5095729;5027196;5003549;4813632;4528961;97;400231;5065;191637;115308;9;17;691
ECO-JSC-RGN-105238;ecoli;131.0;FALSE;5113171;126;105;75;66;49;32;5113171;5098667;5015330;4949429;4666597;4050037;126;371180;5078;117628;56788;14;29;1066
ECO-JSC-RGN-104229;ecoli;131.0;FALSE;5116528;138;113;74;59;36;25;5116528;5099018;5008524;4912649;4579167;4181919;138;392507;5066;186391;75523;10;20;666
ECO-JSC-RGN-104243;ecoli;131.0;FALSE;5132860;97;82;65;55;37;31;5132860;5122394;5069445;4991717;4709638;4500944;97;531491;5074;149381;93411;11;22;773
ECO-JSC-RGN-105445;ecoli;162.0;FALSE;5141028;77;67;53;48;40;26;5141028;5134601;5104302;5070444;4940404;4432204;77;472157;506;198725;98227;9;18;288
ECO-JSC-RGN-103678;ecoli;131.0;FALSE;5145662;93;81;60;56;37;27;5145662;5136977;5077281;5043745;4724983;4351548;93;339626;5074;179505;86279;11;20;47
ECO-JSC-RGN-103820;ecoli;131.0;FALSE;5145827;77;62;44;42;33;25;5145827;5135242;5080899;5067886;4926414;4638449;77;391223;5077;191127;124371;9;17;686
ECO-JSC-RGN-105293;ecoli;-;FALSE;5148402;118;99;63;53;38;26;5148402;5135093;5043455;4972837;4720064;4270189;118;340893;5079;165520;105560;12;22;528
ECO-JSC-RGN-103890;ecoli;131.0;FALSE;5151648;120;95;63;51;37;28;5151648;5133729;5047294;4961772;4733644;4409642;120;543029;5077;158814;91608;11;21;528
ECO-JSC-RGN-104549;ecoli;131.0;FALSE;5152907;78;63;47;40;33;28;5152907;5141730;5100771;5051729;4952999;4760751;78;488690;5067;181422;138023;10;18;33
ECO-JSC-RGN-103841;ecoli;131.0;FALSE;5153802;73;64;46;39;32;22;5153802;5147274;5095270;5042680;4927924;4583603;73;391698;5072;191127;153296;9;16;817
ECO-JSC-RGN-105452;ecoli;131.0;FALSE;5155099;79;69;46;41;27;21;5155099;5148239;5081437;5047068;4829717;4615289;79;543622;5079;282757;136519;7;14;1063
ECO-JSC-RGN-103688;ecoli;131.0;FALSE;5157289;83;69;49;45;30;23;5157289;5147452;5089227;5060114;4818091;4581801;83;363903;5075;190890;136519;9;16;652
ECO-JSC-RGN-103687;ecoli;131.0;FALSE;5157932;81;67;48;43;28;22;5157932;5147823;5092428;5055521;4812318;4595991;81;395925;5075;213254;136519;8;16;661
ECO-JSC-RGN-104210;ecoli;131.0;FALSE;5167044;109;89;60;48;38;31;5167044;5153509;5075727;4983405;4802779;4549765;109;391242;5071;161933;85630;12;22;701
ECO-JSC-RGN-103801;ecoli;131.0;FALSE;5169620;119;98;69;56;41;31;5169620;5155536;5079877;4986808;4753777;4390721;119;397476;5075;148354;71654;11;23;675
ECO-JSC-RGN-103752;ecoli;131.0;FALSE;5177541;141;123;82;68;48;30;5177541;5164640;5067039;4961580;4662555;4017001;141;283105;5064;140543;54845;15;28;268
ECO-JSC-RGN-105232;ecoli;131.0;FALSE;5178825;72;66;48;41;34;23;5178825;5174100;5118182;5069126;4944039;4525413;72;393475;5073;191771;117024;9;17;543
ECO-JSC-RGN-105455;ecoli;131.0;FALSE;5180425;78;71;50;44;34;23;5180425;5175336;5112093;5067901;4913857;4494818;78;393465;5073;191127;115770;9;17;531
ECO-JSC-RGN-105450;ecoli;1115.0;FALSE;5184374;116;91;62;54;46;29;5184374;5168584;5108470;5051368;4908062;4235058;116;423232;5089;144811;81017;12;24;1211
KLP-JSC-MOD-104895;ecoli;131.0;FALSE;5185489;100;75;55;43;29;24;5185489;5167457;5114991;5024834;4820260;4646663;100;544445;5079;213326;124370;8;16;528
ECO-JSC-RGN-103785;ecoli;131.0;FALSE;5187373;134;102;61;50;36;25;5187373;5165841;5066073;4984103;4787327;4379213;134;428006;5059;185580;107735;10;19;993
ECO-JSC-RGN-103721;ecoli;131.0;FALSE;5190474;105;78;49;41;31;25;5190474;5172431;5093086;5034288;4874283;4683588;105;488722;5069;190911;124371;9;17;114
ECO-JSC-RGN-103796;ecoli;131.0;FALSE;5191947;126;97;66;50;35;26;5191947;5170540;5083258;4963414;4726640;4405382;126;373231;5077;186469;105560;10;19;664
ECO-JSC-RGN-104540;ecoli;131.0;FALSE;5203377;88;74;56;47;33;26;5203377;5192845;5139958;5075397;4857644;4581213;88;624325;5077;174057;107151;9;18;661
ECO-JSC-RGN-103771;ecoli;131.0;FALSE;5204367;158;137;106;87;55;33;5204367;5189822;5100496;4962580;4461093;3659792;158;199955;5064;93237;42122;18;39;673
ECO-JSC-RGN-103802;ecoli;131.0;FALSE;5204607;114;89;61;56;41;30;5204607;5186979;5116920;5083739;4872149;4488396;114;306254;507;170149;95428;12;21;457
ECO-JSC-MOD-104872;ecoli;131.0;FALSE;5208159;67;55;45;41;33;28;5208159;5199475;5173362;5140536;5045282;4884334;67;382540;507;193031;160908;10;17;33
ECO-JSC-RGN-104205;ecoli;131.0;FALSE;5209963;129;114;86;74;45;35;5209963;5199005;5132806;5042345;4577281;4181759;129;284554;5063;123823;60202;15;31;685
ECO-JSC-RGN-105446;ecoli;131.0;FALSE;5217633;96;80;56;49;30;24;5217633;5207074;5147278;5099952;4786906;4564988;96;421740;5064;186584;123963;10;18;567
ECO-JSC-RGN-104562;ecoli;131.0;FALSE;5221604;82;75;57;45;36;28;5221604;5216571;5164647;5077831;4950733;4644835;82;336263;5081;173783;124371;11;20;104
ECO-JSC-RGN-103747;ecoli;131.0;FALSE;5228655;124;104;64;55;35;24;5228655;5215746;5124117;5055446;4740719;4351930;124;447150;5051;206783;91866;10;19;4
ECO-JSC-RGN-103754;ecoli;131.0;FALSE;5231670;133;107;70;60;43;30;5231670;5212125;5113311;5037325;4751991;4280282;133;308778;5072;151430;80512;14;25;233
ECO-JSC-RGN-103797;ecoli;131.0;FALSE;5234097;120;100;62;45;32;25;5234097;5220186;5116759;4996770;4779923;4517861;120;435816;5065;190121;117051;10;18;432
ECO-JSC-RGN-103817;ecoli;131.0;FALSE;5235430;97;80;61;50;36;29;5235430;5223703;5169424;5089695;4839670;4587484;97;376112;5057;173863;105065;11;21;625
ECO-JSC-RGN-105252;ecoli;131.0;FALSE;5238280;94;81;64;54;40;28;5238280;5228653;5182269;5106677;4871695;4432929;94;393280;507;172734;83286;10;21;67
ECO-JSC-RGN-104212;ecoli;131.0;FALSE;5240549;86;68;50;43;29;23;5240549;5227785;5171817;5128376;4898510;4672358;86;488056;5061;227264;136519;8;15;855
KLP-JSC-RGN-105203;kpneumoniae;1427.0;FALSE;5243296;67;55;43;39;32;27;5243296;5234587;5208198;5176718;5055239;4867534;67;437337;5756;204801;134743;10;18;341
ECO-JSC-RGN-104542;ecoli;131.0;FALSE;5243615;81;69;52;49;35;28;5243615;5235185;5188402;5165661;4933334;4669014;81;542982;5061;173932;111621;10;19;132
ECO-JSC-RGN-104544;ecoli;131.0;FALSE;5244526;84;73;55;51;36;30;5244526;5235914;5181324;5151271;4912873;4707030;84;543072;5063;165318;101793;10;20;513
ECO-JSC-RGN-103760;ecoli;131.0;FALSE;5244961;124;104;78;71;51;34;5244961;5230342;5168376;5119003;4807668;4199812;124;258102;5078;117876;66157;15;30;435
ECO-JSC-RGN-103720;ecoli;131.0;FALSE;5245337;96;83;59;48;34;29;5245337;5236318;5165740;5087256;4855457;4674612;96;531143;506;173730;109141;10;19;578
ECO-JSC-RGN-103805;ecoli;131.0;FALSE;5246306;116;90;58;48;35;28;5246306;5228723;5145483;5068333;4870317;4604484;116;409483;507;182458;96560;10;20;408
KLP-JSC-RGN-105468;kpneumoniae;1427.0;FALSE;5248959;89;74;57;55;42;36;5248959;5238635;5205698;5191115;4960283;4723239;89;239178;5756;163307;82535;13;25;1048
ECO-JSC-RGN-104536;ecoli;131.0;FALSE;5259745;112;92;62;50;33;29;5259745;5245217;5170376;5084234;4824844;4681854;112;544486;5071;180960;99573;10;20;911
ECO-JSC-RGN-103892;ecoli;131.0;FALSE;5265056;136;109;73;59;42;28;5265056;5244012;5159099;5064409;4776202;4277892;136;336376;5077;129565;87263;13;24;881
ECO-JSC-RGN-103889;ecoli;131.0;FALSE;5267258;121;96;70;65;42;33;5267258;5249245;5177580;5139258;4799358;4493576;121;426679;5068;140928;76224;14;25;499
ECO-JSC-RGN-103770;ecoli;131.0;FALSE;5268259;108;87;57;49;34;27;5268259;5253368;5176094;5123378;4906983;4664452;108;488688;5065;173929;123751;10;19;97
ECO-JSC-RGN-105448;ecoli;648.0;FALSE;5271616;134;104;74;64;49;33;5271616;5250870;5170459;5105811;4862264;4276271;134;305218;5048;125656;66177;14;28;1476
ECO-JSC-RGN-105251;ecoli;131.0;FALSE;5273002;86;75;54;48;34;28;5273002;5264750;5205373;5157609;4923484;4701736;86;544297;5064;190453;109135;10;19;332
ECO-JSC-RGN-103693;ecoli;131.0;FALSE;5276313;105;79;57;53;35;25;5276313;5257932;5200851;5178715;4918867;4557476;105;382634;5064;179265;113651;10;19;409
ECO-JSC-RGN-105239;ecoli;224.0;FALSE;5285355;105;82;48;37;33;24;5285355;5268612;5191140;5113419;5047240;4693622;105;762943;5076;227859;133936;8;16;1077
ECO-JSC-RGN-103794;ecoli;131.0;FALSE;5295162;148;113;69;57;39;32;5295162;5269299;5161527;5066107;4785786;4539488;148;371539;5074;156326;84821;12;23;869
ECO-JSC-RGN-105235;ecoli;131.0;FALSE;5297571;141;113;82;69;47;32;5297571;5276866;5200355;5102870;4744982;4191454;141;370391;5068;124446;68031;14;29;566
ECO-JSC-RGN-105447;ecoli;131.0;FALSE;5298247;86;69;45;42;29;24;5298247;5286278;5223474;5199743;5023389;4830999;86;488688;5071;222117;158855;9;16;538
ECO-JSC-RGN-103791;ecoli;131.0;FALSE;5300375;140;114;87;63;38;27;5300375;5281579;5218319;5039705;4602958;4209672;140;478285;5069;157740;67571;12;24;443
ECO-JSC-RGN-103895;ecoli;131.0;FALSE;5302191;103;76;61;56;39;29;5302191;5283676;5245902;5209384;4955654;4587576;103;488398;5064;173929;97055;11;21;256
ECO-JSC-RGN-104565;ecoli;131.0;FALSE;5306809;101;79;56;49;32;26;5306809;5291731;5219653;5165323;4907207;4683528;101;544720;5074;180685;130023;10;18;19
ECO-JSC-RGN-105230;ecoli;131.0;FALSE;5307664;92;76;54;47;32;26;5307664;5296334;5231599;5177220;4952244;4727729;92;489786;5074;191127;136415;9;17;496
ECO-JSC-RGN-105242;ecoli;73.0;FALSE;5313600;104;88;61;56;41;26;5313600;5302300;5234015;5200053;4949333;4432560;104;439271;5054;174343;97397;10;20;694
ECO-JSC-RGN-103781;ecoli;131.0;FALSE;5315595;116;95;63;52;35;25;5315595;5301213;5213988;5132553;4864177;4501646;116;511059;5069;170798;109141;10;19;485
ECO-JSC-RGN-104196;ecoli;131.0;FALSE;5323811;109;98;71;59;38;30;5323811;5316315;5241675;5151679;4801602;4520807;109;361948;5076;149583;98654;12;23;526
ECO-JSC-RGN-103709;ecoli;131.0;FALSE;5324653;112;84;56;50;35;25;5324653;5305931;5227442;5190253;4954188;4598649;112;425652;5067;186469;107475;10;19;118
ECO-JSC-RGN-103789;ecoli;131.0;FALSE;5325051;142;121;80;63;45;32;5325051;5309482;5203938;5071333;4775420;4318686;142;477000;5077;127993;66121;13;27;565
ECO-JSC-RGN-103684;ecoli;131.0;FALSE;5332746;131;107;63;52;33;23;5332746;5316659;5201961;5123843;4826160;4477425;131;404232;5051;241937;109279;9;18;255
ECO-JSC-RGN-105441;ecoli;141.0;FALSE;5333146;50;38;29;29;24;18;5333146;5325616;5302174;5302174;5214098;4993902;50;871636;5063;381212;210586;6;11;724
ECO-JSC-RGN-105444;ecoli;141.0;FALSE;5335669;55;43;31;31;27;21;5335669;5328260;5298321;5298321;5234228;5002225;55;871624;5063;325802;141126;6;13;502
ECO-JSC-RGN-104232;ecoli;131.0;FALSE;5344559;117;90;66;59;38;26;5344559;5325181;5258617;5209110;4878787;4447447;117;392951;5063;173932;109261;11;20;137
KLP-JSC-RGN-105458;ecoli;1011.0;FALSE;5346443;100;81;49;41;39;28;5346443;5332438;5262362;5198084;5156741;4739505;100;739906;5051;209080;90555;8;17;714
ECO-JSC-RGN-103881;ecoli;131.0;FALSE;5350880;208;154;95;78;49;32;5350880;5311893;5164638;5045578;4621590;3994770;208;292383;508;110590;47871;17;33;267
PSA-JSC-RGN-105474;kpneumoniae;1565.0;FALSE;5351904;57;49;36;34;30;21;5351904;5346215;5315220;5302210;5234535;4886180;57;495816;5746;293919;174452;8;13;906
ECO-JSC-RGN-103833;ecoli;131.0;FALSE;5357562;147;114;79;63;41;31;5357562;5334907;5241276;5133311;4784546;4437108;147;363276;5055;148679;75007;13;24;86
ECO-JSC-RGN-103834;ecoli;131.0;FALSE;5366237;124;98;67;53;31;25;5366237;5348052;5270319;5170211;4778676;4553084;124;562517;5055;180026;108328;10;20;285
ECO-JSC-RGN-103675;ecoli;131.0;FALSE;5374664;117;88;62;58;39;26;5374664;5353666;5285374;5258281;4996131;4540064;117;450219;5066;178539;114146;10;20;664
ECO-JSC-RGN-104224;ecoli;131.0;FALSE;5376985;116;92;72;63;41;29;5376985;5359131;5304477;5239684;4922633;4507897;116;452012;5066;171766;84454;12;22;683
ECO-JSC-RGN-103679;ecoli;131.0;FALSE;5377223;96;72;53;49;32;25;5377223;5360493;5308120;5281838;5028126;4763237;96;488400;5058;204741;124092;10;18;8
ECO-JSC-RGN-103701;ecoli;131.0;FALSE;5379052;91;70;52;49;33;27;5379052;5363718;5314587;5291888;5062924;4855094;91;488689;5058;205278;124677;10;18;286
ECO-JSC-RGN-103778;ecoli;131.0;FALSE;5393565;144;115;85;75;50;34;5393565;5373170;5299206;5225501;4860017;4286645;144;303926;5063;127094;60405;15;30;13
ECO-JSC-RGN-105236;ecoli;223.0;FALSE;5394207;178;141;87;67;51;36;5394207;5368986;5236636;5094034;4832360;4271045;178;324220;5053;107062;63756;16;32;627
KLP-JSC-RGN-105201;kpneumoniae;15.0;FALSE;5407129;82;78;60;54;47;34;5407129;5404642;5358574;5315913;5192789;4726610;82;540449;5735;153040;83433;12;24;507
KLP-JSC-RGN-105200;kpneumoniae;15.0;FALSE;5410577;85;74;57;50;43;30;5410577;5403145;5362274;5314985;5190701;4725086;85;577026;5735;157942;86477;10;21;333
KLP-JSC-RGN-105184;kpneumoniae;307.0;FALSE;5414476;58;51;39;35;31;26;5414476;5409644;5383536;5356995;5298473;5134855;58;840416;5733;303030;129710;7;14;593
KLP-JSC-RGN-105198;kpneumoniae;846.0;FALSE;5415712;72;63;49;43;33;25;5415712;5409795;5375837;5333891;5152900;4889197;72;414282;5722;242112;144470;9;16;493
KLP-JSC-RGN-105180;kpneumoniae;25.0;FALSE;5416430;81;65;48;43;34;27;5416430;5404774;5362219;5329645;5173187;4886812;81;664305;5739;211629;129241;9;18;364
KLP-JSC-RGN-105178;kpneumoniae;25.0;FALSE;5416541;82;66;47;41;32;26;5416541;5404840;5359148;5321068;5165878;4909480;82;632669;5739;220726;134508;8;16;559
KLP-JSC-RGN-105185;kpneumoniae;307.0;FALSE;5417985;55;48;36;32;29;24;5417985;5413324;5387216;5360675;5317598;5150994;55;804421;5734;251206;175147;7;13;41
KLP-JSC-RGN-105183;kpneumoniae;307.0;FALSE;5420322;56;52;39;35;32;26;5420322;5417629;5387243;5360703;5317626;5109155;56;401201;5734;259460;129607;8;15;376
KLP-JSC-RGN-105181;kpneumoniae;307.0;FALSE;5421167;53;48;36;32;29;23;5421167;5417800;5391536;5364996;5321795;5118148;53;982879;5734;332447;129786;6;12;542
KLP-JSC-RGN-105187;kpneumoniae;307.0;FALSE;5423687;63;56;42;38;33;26;5423687;5419023;5388689;5362088;5270800;5023157;63;982352;5733;251175;100071;7;15;398
KLP-JSC-RGN-105182;kpneumoniae;307.0;FALSE;5423786;57;48;36;32;29;25;5423786;5417979;5391871;5365330;5322253;5185202;57;691553;5734;303263;144045;7;14;546
KLP-JSC-RGN-105172;kpneumoniae;307.0;FALSE;5426030;56;50;36;33;30;25;5426030;5421910;5390454;5371941;5326837;5154526;56;511416;5734;224280;160583;7;15;798
KLP-JSC-RGN-105199;kpneumoniae;15.0;FALSE;5455807;92;77;60;54;48;35;5455807;5444713;5402669;5362888;5259796;4769631;92;576857;5728;138320;83331;11;24;28
KLP-JSC-RGN-105202;kpneumoniae;15.0;FALSE;5457530;98;86;66;58;47;31;5457530;5449053;5403761;5348610;5162907;4536430;98;402058;5728;153317;83856;12;24;203
KLP-JSC-RGN-105168;kpneumoniae;152.0;FALSE;5460689;104;90;71;56;46;31;5460689;5451833;5399390;5283136;5113837;4603771;104;474849;5715;129242;86477;12;25;52
KLP-JSC-RGN-105167;kpneumoniae;152.0;FALSE;5464824;107;94;76;60;48;32;5464824;5456266;5405329;5282032;5057487;4516084;107;344493;5715;127995;64715;12;26;278
KLP-JSC-RGN-105169;kpneumoniae;152.0;FALSE;5467231;120;102;82;65;51;35;5467231;5454935;5398229;5265900;5017628;4476045;120;332026;5714;125160;65757;15;29;521
KLP-JSC-RGN-105190;kpneumoniae;307.0;FALSE;5469262;70;64;47;43;37;28;5469262;5465184;5424153;5396024;5282683;4946802;70;691683;5728;170687;129241;9;18;581
KLP-JSC-RGN-105195;kpneumoniae;307.0;FALSE;5487068;64;58;43;39;32;25;5487068;5483153;5450170;5422081;5311007;5073329;64;691478;5727;200186;147618;9;16;567
KLP-JSC-RGN-105194;kpneumoniae;17.0;FALSE;5491513;88;71;45;35;26;22;5491513;5479972;5419579;5347964;5202271;5076852;88;629625;5727;262342;191421;8;13;896
KLP-JSC-RGN-105186;kpneumoniae;307.0;FALSE;5494826;62;53;40;35;30;24;5494826;5488618;5460597;5428952;5344841;5128687;62;666488;5724;307846;141351;7;14;388
KLP-JSC-RGN-105179;kpneumoniae;25.0;FALSE;5505015;86;71;49;45;38;29;5505015;5495009;5441256;5413264;5294137;4906104;86;348918;5735;212086;122333;11;19;903
ECO-JSC-RGN-103695;ecoli;131.0;FALSE;5527563;153;122;85;70;42;30;5527563;5505347;5408922;5303631;4843554;4412333;153;332296;5064;154496;65596;13;26;63
KLP-JSC-RGN-105462;kpneumoniae;37.0;FALSE;5541085;54;47;41;40;36;31;5541085;5535644;5525002;5518663;5451968;5280402;54;366516;5689;214428;124231;11;20;691
KLP-JSC-RGN-105469;kpneumoniae;307.0;FALSE;5547292;67;60;46;43;38;33;5547292;5542710;5505328;5482929;5391678;5209773;67;491752;5726;179442;103650;11;20;937
