"contig_name","final_result"
"DRR199263_202105251828_62_length_1259_cov_23.182540","chromosome"
"DRR199263_202105251828_63_length_941_cov_82.918919","chromosome"
"DRR199263_202105251828_64_length_846_cov_16.308762","chromosome"
"DRR199263_202105251828_65_length_830_cov_32.687055","chromosome"
"DRR199263_202105251828_66_length_758_cov_34.309033","chromosome"
"DRR199263_202105251828_67_length_740_cov_40.933116","chromosome"
"DRR199263_202105251828_68_length_641_cov_63.107004","chromosome"
"DRR199263_202105251828_69_length_543_cov_23.129808","chromosome"
"DRR199263_202105251828_70_length_519_cov_91.686224","chromosome"
"DRR199263_202105251828_33_length_22926_cov_12.704417","plasmid"
"DRR199263_202105251828_42_length_11765_cov_11.964341","plasmid"
"DRR199263_202105251828_43_length_10524_cov_12.976059","plasmid"
"DRR199263_202105251828_44_length_7992_cov_12.557406","plasmid"
"DRR199263_202105251828_47_length_6253_cov_13.385406","plasmid"
"DRR199263_202105251828_48_length_5294_cov_214.673118","plasmid"
"DRR199263_202105251828_49_length_4973_cov_13.509905","plasmid"
"DRR199263_202105251828_52_length_4431_cov_14.209108","plasmid"
"DRR199263_202105251828_54_length_4214_cov_349.647174","plasmid"
"DRR199263_202105251828_59_length_1676_cov_1167.213686","plasmid"
"DRR199263_202105251828_60_length_1530_cov_27.034925","plasmid"
"DRR199263_202105251828_61_length_1467_cov_12.649937","plasmid"
"DRR199287_202105251828_1_length_281540_cov_3.795212","chromosome"
"DRR199287_202105251828_2_length_261880_cov_3.370483","chromosome"
"DRR199287_202105251828_3_length_252475_cov_3.340355","chromosome"
"DRR199287_202105251828_4_length_232584_cov_3.540608","chromosome"
"DRR199287_202105251828_5_length_165848_cov_3.965038","chromosome"
"DRR199287_202105251828_6_length_158949_cov_3.738128","chromosome"
"DRR199287_202105251828_7_length_157511_cov_3.639843","chromosome"
"DRR199287_202105251828_8_length_147103_cov_4.178914","chromosome"
"DRR199287_202105251828_9_length_141559_cov_3.537092","chromosome"
"DRR199287_202105251828_10_length_138966_cov_3.974445","chromosome"
"DRR199287_202105251828_11_length_138910_cov_3.852741","chromosome"
"DRR199287_202105251828_12_length_124287_cov_3.707692","chromosome"
"DRR199287_202105251828_13_length_121865_cov_3.128004","chromosome"
"DRR199287_202105251828_14_length_114515_cov_4.046823","chromosome"
"DRR199287_202105251828_15_length_114372_cov_3.684993","chromosome"
"DRR199287_202105251828_16_length_112297_cov_3.375840","chromosome"
"DRR199287_202105251828_17_length_108375_cov_4.034476","chromosome"
"DRR199287_202105251828_18_length_107144_cov_3.666838","chromosome"
"DRR199287_202105251828_19_length_96217_cov_3.129982","chromosome"
"DRR199287_202105251828_20_length_95795_cov_3.920904","chromosome"
"DRR199287_202105251828_21_length_94394_cov_3.518273","chromosome"
"DRR199287_202105251828_22_length_92858_cov_3.118116","chromosome"
"DRR199287_202105251828_23_length_89103_cov_4.074076","chromosome"
"DRR199287_202105251828_24_length_85792_cov_3.523831","chromosome"
"DRR199287_202105251828_25_length_75071_cov_3.113778","chromosome"
"DRR199287_202105251828_26_length_72426_cov_3.549897","chromosome"
"DRR199287_202105251828_27_length_67879_cov_3.984443","chromosome"
"DRR199287_202105251828_28_length_64805_cov_2.978370","chromosome"
"DRR199287_202105251828_29_length_63159_cov_4.024289","chromosome"
"DRR199287_202105251828_30_length_59346_cov_3.227072","chromosome"
"DRR199287_202105251828_31_length_55746_cov_3.172279","chromosome"
"DRR199287_202105251828_32_length_51835_cov_3.799741","chromosome"
"DRR199287_202105251828_33_length_49533_cov_3.362122","chromosome"
"DRR199287_202105251828_34_length_43796_cov_3.552154","chromosome"
"DRR199287_202105251828_35_length_41624_cov_3.445165","chromosome"
"DRR199287_202105251828_36_length_38046_cov_3.174662","chromosome"
"DRR199287_202105251828_37_length_37417_cov_3.765245","chromosome"
"DRR199287_202105251828_38_length_36515_cov_4.601709","chromosome"
"DRR199287_202105251828_39_length_35319_cov_3.416515","chromosome"
"DRR199287_202105251828_40_length_35102_cov_4.092866","chromosome"
"DRR199287_202105251828_41_length_34770_cov_3.458434","chromosome"
"DRR199287_202105251828_42_length_32947_cov_4.185740","chromosome"
"DRR199287_202105251828_43_length_30585_cov_3.109134","chromosome"
"DRR199287_202105251828_45_length_29881_cov_3.199771","chromosome"
"DRR199287_202105251828_46_length_29642_cov_3.553346","chromosome"
"DRR199287_202105251828_47_length_28297_cov_3.315761","chromosome"
"DRR199287_202105251828_48_length_26164_cov_3.668318","chromosome"
"DRR199287_202105251828_49_length_23785_cov_3.569406","chromosome"
"DRR199287_202105251828_50_length_22663_cov_3.211528","chromosome"
"DRR199287_202105251828_51_length_22491_cov_3.570605","chromosome"
"DRR199287_202105251828_52_length_21736_cov_3.243463","chromosome"
"DRR199287_202105251828_54_length_18698_cov_3.882559","chromosome"
"DRR199287_202105251828_55_length_18317_cov_3.084607","chromosome"
"DRR199287_202105251828_56_length_17552_cov_3.257963","chromosome"
"DRR199287_202105251828_57_length_17334_cov_4.276109","chromosome"
"DRR199287_202105251828_58_length_17088_cov_3.493013","chromosome"
"DRR199287_202105251828_59_length_16345_cov_3.100752","chromosome"
"DRR199287_202105251828_60_length_16287_cov_4.140965","chromosome"
"DRR199287_202105251828_61_length_14331_cov_3.482259","chromosome"
"DRR199287_202105251828_62_length_14331_cov_3.396438","chromosome"
"DRR199287_202105251828_63_length_14324_cov_3.183701","chromosome"
"DRR199287_202105251828_65_length_13719_cov_3.024279","chromosome"
"DRR199287_202105251828_66_length_12773_cov_3.499684","chromosome"
"DRR199287_202105251828_67_length_12636_cov_3.983372","chromosome"
"DRR199287_202105251828_68_length_12348_cov_2.854676","plasmid"
"DRR199287_202105251828_69_length_12237_cov_3.566309","chromosome"
"DRR199287_202105251828_70_length_11249_cov_3.185578","chromosome"
"DRR199287_202105251828_71_length_11236_cov_4.446845","chromosome"
"DRR199287_202105251828_72_length_11180_cov_3.692391","chromosome"
"DRR199287_202105251828_73_length_11095_cov_4.045131","chromosome"
"DRR199287_202105251828_74_length_11004_cov_4.115473","chromosome"
"DRR199287_202105251828_75_length_10178_cov_3.251517","chromosome"
"DRR199287_202105251828_76_length_9563_cov_4.471810","chromosome"
"DRR199287_202105251828_77_length_9069_cov_4.097741","chromosome"
"DRR199287_202105251828_79_length_8873_cov_4.385548","chromosome"
"DRR199287_202105251828_80_length_8355_cov_3.686072","chromosome"
"DRR199287_202105251828_82_length_8268_cov_3.327478","chromosome"
"DRR199287_202105251828_84_length_6861_cov_3.631868","chromosome"
"DRR199287_202105251828_85_length_6778_cov_4.171403","chromosome"
"DRR199287_202105251828_86_length_6688_cov_3.446731","chromosome"
"DRR199287_202105251828_88_length_5829_cov_6.589793","chromosome"
"DRR199287_202105251828_89_length_5596_cov_4.001646","chromosome"
"DRR199287_202105251828_92_length_4935_cov_21.153702","chromosome"
"DRR199287_202105251828_93_length_4281_cov_3.099422","chromosome"
"DRR199287_202105251828_95_length_4156_cov_3.974932","chromosome"
"DRR199287_202105251828_96_length_3655_cov_3.934524","chromosome"
"DRR199287_202105251828_99_length_3416_cov_4.419580","chromosome"
"DRR199287_202105251828_100_length_3277_cov_4.404127","chromosome"
"DRR199287_202105251828_101_length_3255_cov_2.721867","plasmid"
"DRR199287_202105251828_102_length_3207_cov_3.318506","chromosome"
"DRR199287_202105251828_104_length_2834_cov_2.956040","plasmid"
"DRR199287_202105251828_107_length_2581_cov_14.820701","chromosome"
"DRR199287_202105251828_108_length_2490_cov_2.792636","chromosome"
"DRR199287_202105251828_109_length_2373_cov_3.730632","chromosome"
"DRR199287_202105251828_110_length_2357_cov_3.970417","chromosome"
"DRR199287_202105251828_111_length_1921_cov_4.296544","chromosome"
"DRR199287_202105251828_113_length_1513_cov_3.914863","chromosome"
"DRR199287_202105251828_114_length_1328_cov_4.086595","chromosome"
"DRR199287_202105251828_115_length_1244_cov_3.393017","chromosome"
"DRR199287_202105251828_116_length_1221_cov_3.236746","chromosome"
"DRR199287_202105251828_117_length_1195_cov_6.416667","plasmid"
"DRR199287_202105251828_118_length_1169_cov_3.271593","chromosome"
"DRR199287_202105251828_119_length_1121_cov_3.858149","chromosome"
"DRR199287_202105251828_121_length_842_cov_2.616783","chromosome"
"DRR199287_202105251828_122_length_820_cov_34.659452","chromosome"
"DRR199287_202105251828_123_length_820_cov_5.279942","chromosome"
"DRR199287_202105251828_124_length_814_cov_3.710335","chromosome"
"DRR199287_202105251828_125_length_742_cov_3.030894","chromosome"
"DRR199287_202105251828_126_length_702_cov_4.135652","chromosome"
"DRR199287_202105251828_127_length_646_cov_3.315992","chromosome"
"DRR199287_202105251828_128_length_641_cov_7.793774","chromosome"
"DRR199287_202105251828_129_length_634_cov_12.489152","chromosome"
"DRR199287_202105251828_130_length_596_cov_2.081023","chromosome"
"DRR199287_202105251828_131_length_582_cov_3.021978","chromosome"
"DRR199287_202105251828_132_length_565_cov_3.664384","chromosome"
"DRR199287_202105251828_133_length_558_cov_3.781903","chromosome"
"DRR199287_202105251828_134_length_547_cov_3.519048","chromosome"
"DRR199287_202105251828_135_length_542_cov_4.812048","chromosome"
"DRR199287_202105251828_136_length_537_cov_3.714634","chromosome"
"DRR199287_202105251828_137_length_532_cov_3.990123","chromosome"
"DRR199287_202105251828_138_length_526_cov_4.513784","chromosome"
"DRR199287_202105251828_139_length_519_cov_13.808673","chromosome"
"DRR199287_202105251828_140_length_502_cov_3.301333","chromosome"
"DRR199287_202105251828_44_length_30532_cov_2.662786","plasmid"
"DRR199287_202105251828_53_length_20826_cov_2.981883","plasmid"
"DRR199287_202105251828_64_length_14151_cov_2.749643","plasmid"
"DRR199287_202105251828_78_length_8957_cov_2.835787","plasmid"
"DRR199287_202105251828_81_length_8328_cov_4.536398","plasmid"
"DRR199287_202105251828_83_length_7359_cov_2.939989","plasmid"
"DRR199287_202105251828_87_length_6473_cov_2.685944","plasmid"
"DRR199287_202105251828_90_length_5337_cov_36.122265","plasmid"
"DRR199287_202105251828_91_length_5306_cov_50.115659","plasmid"
"DRR199287_202105251828_94_length_4248_cov_3.034943","plasmid"
"DRR199287_202105251828_97_length_3499_cov_49.767200","plasmid"
"DRR199287_202105251828_98_length_3424_cov_2.561116","plasmid"
"DRR199287_202105251828_103_length_2892_cov_2.785895","plasmid"
"DRR199287_202105251828_105_length_2672_cov_2.735263","plasmid"
"DRR199287_202105251828_106_length_2605_cov_6.213882","plasmid"
"DRR199287_202105251828_112_length_1513_cov_6.293902","plasmid"
"DRR199287_202105251828_120_length_1116_cov_3.525784","chromosome"
"DRR199303_202105251828_1_length_283331_cov_3.061726","chromosome"
"DRR199303_202105251828_2_length_277407_cov_3.543815","chromosome"
"DRR199303_202105251828_3_length_227871_cov_3.331139","chromosome"
"DRR199303_202105251828_4_length_197667_cov_4.237623","chromosome"
"DRR199303_202105251828_5_length_197250_cov_3.720251","chromosome"
"DRR199303_202105251828_6_length_193563_cov_4.040572","chromosome"
"DRR199303_202105251828_7_length_186464_cov_3.442489","chromosome"
"DRR199303_202105251828_8_length_183941_cov_4.103197","chromosome"
"DRR199303_202105251828_9_length_173830_cov_3.933168","chromosome"
"DRR199303_202105251828_10_length_159813_cov_3.370252","chromosome"
"DRR199303_202105251828_11_length_159385_cov_4.199569","chromosome"
"DRR199303_202105251828_12_length_126860_cov_4.430503","chromosome"
"DRR199303_202105251828_13_length_124860_cov_3.913640","chromosome"
"DRR199303_202105251828_14_length_121015_cov_4.237410","chromosome"
"DRR199303_202105251828_15_length_118041_cov_4.158777","chromosome"
"DRR199303_202105251828_16_length_114286_cov_3.059741","chromosome"
"DRR199303_202105251828_17_length_109447_cov_4.328311","chromosome"
"DRR199303_202105251828_18_length_108477_cov_3.804772","chromosome"
"DRR199303_202105251828_19_length_101977_cov_4.195160","chromosome"
"DRR199303_202105251828_20_length_94200_cov_3.537561","chromosome"
"DRR199303_202105251828_21_length_92649_cov_4.170392","chromosome"
"DRR199303_202105251828_22_length_90774_cov_3.560989","chromosome"
"DRR199303_202105251828_23_length_81283_cov_3.140914","chromosome"
"DRR199303_202105251828_24_length_78213_cov_3.052698","chromosome"
"DRR199303_202105251828_26_length_71399_cov_3.573016","chromosome"
"DRR199303_202105251828_27_length_70312_cov_3.578371","chromosome"
"DRR199303_202105251828_28_length_69922_cov_3.562676","chromosome"
"DRR199303_202105251828_29_length_69914_cov_3.280310","chromosome"
"DRR199303_202105251828_30_length_66120_cov_4.325883","chromosome"
"DRR199303_202105251828_31_length_60640_cov_4.016360","chromosome"
"DRR199303_202105251828_32_length_59294_cov_3.734125","chromosome"
"DRR199303_202105251828_33_length_51942_cov_4.333513","chromosome"
"DRR199303_202105251828_34_length_46567_cov_4.842786","chromosome"
"DRR199303_202105251828_35_length_44293_cov_3.690237","chromosome"
"DRR199303_202105251828_36_length_44107_cov_4.576580","chromosome"
"DRR199303_202105251828_37_length_43351_cov_3.844808","chromosome"
"DRR199303_202105251828_38_length_41570_cov_4.195140","chromosome"
"DRR199303_202105251828_39_length_34401_cov_4.482815","chromosome"
"DRR199303_202105251828_40_length_33957_cov_4.683447","chromosome"
"DRR199303_202105251828_41_length_33865_cov_3.701820","chromosome"
"DRR199303_202105251828_42_length_33094_cov_3.341705","chromosome"
"DRR199303_202105251828_43_length_32192_cov_3.481709","chromosome"
"DRR199303_202105251828_44_length_31921_cov_4.238221","chromosome"
