'Assembly Accession'	'SRA Accession'	'Prob_Chromosome'	'Prob_Plasmid'	'Prediction'	'Contig_name'	'Contig_length'
GCA_010725305.1	DRR192221	0.422958426380781	0.577041573619219	"Plasmid"	"DRR192221_202105251828_59_length_1597_cov_80.155102"	1597
GCA_010725305.1	DRR192221	0.980307230200335	0.0196927697996647	"Chromosome"	"DRR192221_202105251828_60_length_1432_cov_171.832950"	1432
GCA_010725305.1	DRR192221	0.971967051999336	0.0280329480006636	"Chromosome"	"DRR192221_202105251828_61_length_1084_cov_76.555904"	1084
GCA_010725305.1	DRR192221	0.203247030777178	0.796752969222822	"Plasmid"	"DRR192221_202105251828_62_length_1003_cov_89.581050"	1003
GCA_014168835.1	DRR199249	0.971689257987878	0.0283107420121221	"Chromosome"	"DRR199249_202105251828_1_length_680082_cov_8.693819"	680082
GCA_014168835.1	DRR199249	0.979808299679011	0.0201917003209894	"Chromosome"	"DRR199249_202105251828_2_length_623247_cov_8.897928"	623247
GCA_014168835.1	DRR199249	0.968624119500097	0.0313758804999026	"Chromosome"	"DRR199249_202105251828_3_length_339518_cov_10.127275"	339518
GCA_014168835.1	DRR199249	0.985411799095276	0.014588200904724	"Chromosome"	"DRR199249_202105251828_4_length_231231_cov_7.774790"	231231
GCA_014168835.1	DRR199249	0.970131676802274	0.0298683231977264	"Chromosome"	"DRR199249_202105251828_5_length_223070_cov_11.416290"	223070
GCA_014168835.1	DRR199249	0.962552263801604	0.0374477361983959	"Chromosome"	"DRR199249_202105251828_6_length_215831_cov_10.847713"	215831
GCA_014168835.1	DRR199249	0.972297110224846	0.0277028897751539	"Chromosome"	"DRR199249_202105251828_7_length_206928_cov_9.059134"	206928
GCA_014168835.1	DRR199249	0.973824909028591	0.0261750909714086	"Chromosome"	"DRR199249_202105251828_8_length_191712_cov_10.772341"	191712
GCA_014168835.1	DRR199249	0.975104402423655	0.024895597576345	"Chromosome"	"DRR199249_202105251828_9_length_173943_cov_9.969502"	173943
GCA_014168835.1	DRR199249	0.971157818290376	0.0288421817096245	"Chromosome"	"DRR199249_202105251828_10_length_166088_cov_10.811160"	166088
GCA_014168835.1	DRR199249	0.973997927098589	0.0260020729014109	"Chromosome"	"DRR199249_202105251828_11_length_159190_cov_10.491585"	159190
GCA_014168835.1	DRR199249	0.970739237169866	0.0292607628301338	"Chromosome"	"DRR199249_202105251828_12_length_136620_cov_7.943543"	136620
GCA_014168835.1	DRR199249	0.984178901084435	0.0158210989155649	"Chromosome"	"DRR199249_202105251828_13_length_135876_cov_7.859329"	135876
GCA_014168835.1	DRR199249	0.947853879900911	0.0521461200990889	"Chromosome"	"DRR199249_202105251828_14_length_124870_cov_9.629751"	124870
GCA_014168835.1	DRR199249	0.986016021782377	0.0139839782176229	"Chromosome"	"DRR199249_202105251828_15_length_124518_cov_9.530810"	124518
GCA_014168835.1	DRR199249	0.964565788030351	0.0354342119696489	"Chromosome"	"DRR199249_202105251828_16_length_118022_cov_10.606972"	118022
GCA_014168835.1	DRR199249	0.96801733693462	0.0319826630653797	"Chromosome"	"DRR199249_202105251828_17_length_93510_cov_8.220061"	93510
GCA_014168835.1	DRR199249	0.977261184420432	0.0227388155795684	"Chromosome"	"DRR199249_202105251828_18_length_88572_cov_7.990457"	88572
GCA_014168835.1	DRR199249	0.95071899704927	0.0492810029507303	"Chromosome"	"DRR199249_202105251828_19_length_83359_cov_10.995771"	83359
GCA_014168835.1	DRR199249	0.95754353838421	0.0424564616157896	"Chromosome"	"DRR199249_202105251828_20_length_73802_cov_10.770533"	73802
GCA_014168835.1	DRR199249	0.955295651996007	0.0447043480039933	"Chromosome"	"DRR199249_202105251828_21_length_71350_cov_11.028404"	71350
GCA_014168835.1	DRR199249	0.96678353827044	0.0332164617295599	"Chromosome"	"DRR199249_202105251828_22_length_66008_cov_8.746300"	66008
GCA_014168835.1	DRR199249	0.97729567605381	0.0227043239461898	"Chromosome"	"DRR199249_202105251828_23_length_64726_cov_11.802443"	64726
GCA_014168835.1	DRR199249	0.983853922432582	0.0161460775674178	"Chromosome"	"DRR199249_202105251828_24_length_59017_cov_7.517253"	59017
GCA_014168835.1	DRR199249	0.962470937684955	0.0375290623150448	"Chromosome"	"DRR199249_202105251828_25_length_56481_cov_9.298257"	56481
GCA_014168835.1	DRR199249	0.988363118485342	0.0116368815146579	"Chromosome"	"DRR199249_202105251828_26_length_54499_cov_10.637810"	54499
GCA_014168835.1	DRR199249	0.908966333191785	0.0910336668082155	"Chromosome"	"DRR199249_202105251828_27_length_38459_cov_11.143014"	38459
GCA_014168835.1	DRR199249	0.946091999709192	0.0539080002908081	"Chromosome"	"DRR199249_202105251828_28_length_34401_cov_11.739599"	34401
GCA_014168835.1	DRR199249	0.983240420337802	0.0167595796621983	"Chromosome"	"DRR199249_202105251828_29_length_31508_cov_8.789618"	31508
GCA_014168835.1	DRR199249	0.912851471981176	0.0871485280188237	"Chromosome"	"DRR199249_202105251828_30_length_30045_cov_10.563774"	30045
GCA_014168835.1	DRR199249	0.942271272133605	0.057728727866395	"Chromosome"	"DRR199249_202105251828_31_length_27792_cov_10.718381"	27792
GCA_014168835.1	DRR199249	0.908240865359086	0.0917591346409142	"Chromosome"	"DRR199249_202105251828_32_length_23711_cov_11.953146"	23711
GCA_014168835.1	DRR199249	0.105685996463634	0.894314003536366	"Plasmid"	"DRR199249_202105251828_33_length_23056_cov_7.142004"	23056
GCA_014168835.1	DRR199249	0.913225885651877	0.0867741143481233	"Chromosome"	"DRR199249_202105251828_34_length_21632_cov_12.556196"	21632
GCA_014168835.1	DRR199249	0.995041852866112	0.00495814713388765	"Chromosome"	"DRR199249_202105251828_35_length_21511_cov_9.124299"	21511
GCA_014168835.1	DRR199249	0.859602634069965	0.140397365930035	"Chromosome"	"DRR199249_202105251828_36_length_20432_cov_11.764885"	20432
GCA_014168835.1	DRR199249	0.932845349130547	0.0671546508694532	"Chromosome"	"DRR199249_202105251828_37_length_14775_cov_8.778878"	14775
GCA_014168835.1	DRR199249	0.951813573100825	0.0481864268991749	"Chromosome"	"DRR199249_202105251828_38_length_14184_cov_12.141069"	14184
GCA_014168835.1	DRR199249	0.994581489052293	0.00541851094770684	"Chromosome"	"DRR199249_202105251828_39_length_13784_cov_7.973713"	13784
GCA_014168835.1	DRR199249	0.407625657844657	0.592374342155343	"Plasmid"	"DRR199249_202105251828_40_length_13168_cov_7.427805"	13168
GCA_014168835.1	DRR199249	0.935722256079212	0.0642777439207878	"Chromosome"	"DRR199249_202105251828_41_length_12988_cov_11.075888"	12988
GCA_014168835.1	DRR199249	0.402208792169823	0.597791207830177	"Plasmid"	"DRR199249_202105251828_42_length_12422_cov_9.107930"	12422
GCA_014168835.1	DRR199249	0.185427881104849	0.814572118895151	"Plasmid"	"DRR199249_202105251828_43_length_11593_cov_9.130473"	11593
GCA_014168835.1	DRR199249	0.943126856593841	0.0568731434061586	"Chromosome"	"DRR199249_202105251828_44_length_10776_cov_13.310452"	10776
GCA_014168835.1	DRR199249	0.157642415210986	0.842357584789014	"Plasmid"	"DRR199249_202105251828_45_length_10524_cov_7.707727"	10524
GCA_014168835.1	DRR199249	0.998359717814329	0.0016402821856708	"Chromosome"	"DRR199249_202105251828_46_length_9530_cov_7.680527"	9530
GCA_014168835.1	DRR199249	0.996685957519174	0.00331404248082634	"Chromosome"	"DRR199249_202105251828_47_length_9431_cov_12.933362"	9431
GCA_014168835.1	DRR199249	0.0735487463605474	0.926451253639453	"Plasmid"	"DRR199249_202105251828_48_length_7981_cov_7.072193"	7981
GCA_014168835.1	DRR199249	0.996788901485453	0.00321109851454748	"Chromosome"	"DRR199249_202105251828_49_length_7499_cov_11.542729"	7499
GCA_014168835.1	DRR199249	0.0324025806938155	0.967597419306184	"Plasmid"	"DRR199249_202105251828_50_length_6796_cov_47.189984"	6796
GCA_014168835.1	DRR199249	0.31056636646332	0.68943363353668	"Plasmid"	"DRR199249_202105251828_51_length_6253_cov_7.422625"	6253
GCA_014168835.1	DRR199249	0.0166727006216826	0.983327299378317	"Plasmid"	"DRR199249_202105251828_52_length_5294_cov_103.927811"	5294
GCA_014168835.1	DRR199249	0.0382585501018561	0.961741449898144	"Plasmid"	"DRR199249_202105251828_53_length_4973_cov_7.616591"	4973
GCA_014168835.1	DRR199249	0.176663175719296	0.823336824280704	"Plasmid"	"DRR199249_202105251828_54_length_4946_cov_6.793111"	4946
GCA_014168835.1	DRR199249	0.975718061574402	0.0242819384255981	"Chromosome"	"DRR199249_202105251828_55_length_4925_cov_80.417674"	4925
GCA_014168835.1	DRR199249	0.234094037789854	0.765905962210146	"Plasmid"	"DRR199249_202105251828_56_length_4417_cov_8.247786"	4417
GCA_014168835.1	DRR199249	0.944578739318296	0.0554212606817043	"Chromosome"	"DRR199249_202105251828_57_length_4369_cov_12.534418"	4369
GCA_014168835.1	DRR199249	0.948128951672161	0.0518710483278387	"Chromosome"	"DRR199249_202105251828_58_length_4304_cov_9.649270"	4304
GCA_014168835.1	DRR199249	0.88871503548337	0.11128496451663	"Chromosome"	"DRR199249_202105251828_59_length_4214_cov_177.590898"	4214
GCA_014168835.1	DRR199249	0.940794131727221	0.0592058682727788	"Chromosome"	"DRR199249_202105251828_60_length_2940_cov_11.825453"	2940
GCA_014168835.1	DRR199249	0.994861516306154	0.00513848369384606	"Chromosome"	"DRR199249_202105251828_61_length_2864_cov_9.765437"	2864
GCA_014168835.1	DRR199249	0.0105571688347162	0.989442831165284	"Plasmid"	"DRR199249_202105251828_62_length_2849_cov_7.744306"	2849
GCA_014168835.1	DRR199249	0.908394660904373	0.0916053390956268	"Chromosome"	"DRR199249_202105251828_63_length_2583_cov_32.939332"	2583
GCA_014168835.1	DRR199249	0.970851097169792	0.0291489028302077	"Chromosome"	"DRR199249_202105251828_64_length_2532_cov_40.726819"	2532
GCA_014168835.1	DRR199249	0.997016424891662	0.00298357510833835	"Chromosome"	"DRR199249_202105251828_65_length_2123_cov_13.550100"	2123
GCA_014168835.1	DRR199249	0.70212835951367	0.29787164048633	"Chromosome"	"DRR199249_202105251828_66_length_2089_cov_13.255352"	2089
GCA_014168835.1	DRR199249	0.95488534152737	0.0451146584726297	"Chromosome"	"DRR199249_202105251828_67_length_1914_cov_10.308898"	1914
GCA_014168835.1	DRR199249	0.0859821528362114	0.914017847163789	"Plasmid"	"DRR199249_202105251828_68_length_1676_cov_1138.493221"	1676
GCA_014168835.1	DRR199249	0.600633655923653	0.399366344076347	"Chromosome"	"DRR199249_202105251828_69_length_1546_cov_7.644820"	1546
GCA_014168835.1	DRR199249	0.79496890347814	0.20503109652186	"Chromosome"	"DRR199249_202105251828_70_length_1467_cov_7.166876"	1467
GCA_014168835.1	DRR199249	0.98641945748421	0.0135805425157897	"Chromosome"	"DRR199249_202105251828_71_length_1259_cov_10.958874"	1259
GCA_014168835.1	DRR199249	0.991616958494746	0.00838304150525448	"Chromosome"	"DRR199249_202105251828_72_length_1183_cov_12.757576"	1183
GCA_014168955.1	DRR199263	0.971292414017436	0.0287075859825635	"Chromosome"	"DRR199263_202105251828_1_length_680364_cov_16.929103"	680364
GCA_014168955.1	DRR199263	0.979254071616002	0.0207459283839979	"Chromosome"	"DRR199263_202105251828_2_length_393355_cov_17.205291"	393355
GCA_014168955.1	DRR199263	0.97764422331659	0.0223557766834103	"Chromosome"	"DRR199263_202105251828_3_length_342913_cov_20.091109"	342913
GCA_014168955.1	DRR199263	0.970787792201035	0.0292122077989646	"Chromosome"	"DRR199263_202105251828_4_length_238176_cov_17.979177"	238176
GCA_014168955.1	DRR199263	0.977430165294797	0.0225698347052028	"Chromosome"	"DRR199263_202105251828_5_length_229921_cov_17.968054"	229921
GCA_014168955.1	DRR199263	0.970077953933852	0.0299220460661481	"Chromosome"	"DRR199263_202105251828_6_length_223070_cov_22.135739"	223070
GCA_014168955.1	DRR199263	0.985874898710744	0.0141251012892559	"Chromosome"	"DRR199263_202105251828_7_length_191227_cov_20.814636"	191227
GCA_014168955.1	DRR199263	0.968633467546186	0.0313665324538136	"Chromosome"	"DRR199263_202105251828_8_length_182537_cov_21.338507"	182537
GCA_014168955.1	DRR199263	0.965802476957672	0.0341975230423277	"Chromosome"	"DRR199263_202105251828_9_length_180861_cov_18.809776"	180861
GCA_014168955.1	DRR199263	0.966446292573868	0.0335537074261315	"Chromosome"	"DRR199263_202105251828_10_length_180486_cov_19.923985"	180486
GCA_014168955.1	DRR199263	0.97510320417893	0.0248967958210695	"Chromosome"	"DRR199263_202105251828_11_length_174721_cov_20.341249"	174721
GCA_014168955.1	DRR199263	0.973143078105652	0.026856921894348	"Chromosome"	"DRR199263_202105251828_12_length_166088_cov_21.009472"	166088
GCA_014168955.1	DRR199263	0.961827485362111	0.0381725146378888	"Chromosome"	"DRR199263_202105251828_13_length_159190_cov_20.524836"	159190
GCA_014168955.1	DRR199263	0.96915544526304	0.0308445547369598	"Chromosome"	"DRR199263_202105251828_14_length_136620_cov_15.672445"	136620
GCA_014168955.1	DRR199263	0.973985282757241	0.0260147172427591	"Chromosome"	"DRR199263_202105251828_15_length_134820_cov_15.161159"	134820
GCA_014168955.1	DRR199263	0.947807453211794	0.0521925467882058	"Chromosome"	"DRR199263_202105251828_16_length_124867_cov_18.748116"	124867
GCA_014168955.1	DRR199263	0.981083816597461	0.0189161834025391	"Chromosome"	"DRR199263_202105251828_17_length_122347_cov_15.073065"	122347
GCA_014168955.1	DRR199263	0.984087279923506	0.0159127200764945	"Chromosome"	"DRR199263_202105251828_18_length_96719_cov_15.781286"	96719
GCA_014168955.1	DRR199263	0.973729967995472	0.0262700320045284	"Chromosome"	"DRR199263_202105251828_19_length_93512_cov_15.848819"	93512
GCA_014168955.1	DRR199263	0.977261184420432	0.0227388155795684	"Chromosome"	"DRR199263_202105251828_20_length_88572_cov_16.038849"	88572
GCA_014168955.1	DRR199263	0.95063639898388	0.0493636010161196	"Chromosome"	"DRR199263_202105251828_21_length_83359_cov_21.410203"	83359
GCA_014168955.1	DRR199263	0.959747095909445	0.0402529040905555	"Chromosome"	"DRR199263_202105251828_22_length_73756_cov_20.713224"	73756
GCA_014168955.1	DRR199263	0.955343494678693	0.0446565053213075	"Chromosome"	"DRR199263_202105251828_23_length_71044_cov_21.870186"	71044
GCA_014168955.1	DRR199263	0.966783538270467	0.0332164617295332	"Chromosome"	"DRR199263_202105251828_24_length_66008_cov_16.708641"	66008
GCA_014168955.1	DRR199263	0.983473390973133	0.0165266090268668	"Chromosome"	"DRR199263_202105251828_25_length_59034_cov_14.921656"	59034
GCA_014168955.1	DRR199263	0.988363118485342	0.0116368815146579	"Chromosome"	"DRR199263_202105251828_26_length_54499_cov_21.070735"	54499
GCA_014168955.1	DRR199263	0.976471943621417	0.0235280563785826	"Chromosome"	"DRR199263_202105251828_27_length_40545_cov_22.356846"	40545
GCA_014168955.1	DRR199263	0.908966333191785	0.0910336668082155	"Chromosome"	"DRR199263_202105251828_28_length_38459_cov_21.385709"	38459
GCA_014168955.1	DRR199263	0.965559348740447	0.0344406512595529	"Chromosome"	"DRR199263_202105251828_29_length_34401_cov_22.853271"	34401
GCA_014168955.1	DRR199263	0.942939167185665	0.0570608328143354	"Chromosome"	"DRR199263_202105251828_30_length_30045_cov_20.512735"	30045
GCA_014168955.1	DRR199263	0.943422258358266	0.0565777416417343	"Chromosome"	"DRR199263_202105251828_31_length_27816_cov_19.656903"	27816
GCA_014168955.1	DRR199263	0.996156432046936	0.00384356795306395	"Chromosome"	"DRR199263_202105251828_32_length_23031_cov_14.539993"	23031
GCA_014168955.1	DRR199263	0.104835039164717	0.895164960835283	"Plasmid"	"DRR199263_202105251828_33_length_22926_cov_12.704417"	22926
GCA_014168955.1	DRR199263	0.995058840493354	0.00494115950664564	"Chromosome"	"DRR199263_202105251828_34_length_21510_cov_17.812795"	21510
GCA_014168955.1	DRR199263	0.859437786118091	0.140562213881909	"Chromosome"	"DRR199263_202105251828_35_length_20431_cov_23.482811"	20431
GCA_014168955.1	DRR199263	0.905303387929371	0.0946966120706286	"Chromosome"	"DRR199263_202105251828_36_length_19982_cov_23.036565"	19982
GCA_014168955.1	DRR199263	0.932845349130547	0.0671546508694532	"Chromosome"	"DRR199263_202105251828_37_length_14775_cov_17.003618"	14775
GCA_014168955.1	DRR199263	0.982967718070737	0.0170322819292631	"Chromosome"	"DRR199263_202105251828_38_length_13790_cov_14.560126"	13790
GCA_014168955.1	DRR199263	0.121124819011554	0.878875180988446	"Plasmid"	"DRR199263_202105251828_39_length_12636_cov_16.093213"	12636
GCA_014168955.1	DRR199263	0.53455909153968	0.46544090846032	"Chromosome"	"DRR199263_202105251828_40_length_12443_cov_17.772410"	12443
GCA_014168955.1	DRR199263	0.984349039488407	0.0156509605115928	"Chromosome"	"DRR199263_202105251828_41_length_12088_cov_27.008611"	12088
GCA_014168955.1	DRR199263	0.414079998347195	0.585920001652805	"Plasmid"	"DRR199263_202105251828_42_length_11765_cov_11.964341"	11765
GCA_014168955.1	DRR199263	0.0835195981538732	0.916480401846127	"Plasmid"	"DRR199263_202105251828_43_length_10524_cov_12.976059"	10524
GCA_014168955.1	DRR199263	0.0641054019267207	0.935894598073279	"Plasmid"	"DRR199263_202105251828_44_length_7992_cov_12.557406"	7992
GCA_014168955.1	DRR199263	0.996788901485456	0.00321109851454426	"Chromosome"	"DRR199263_202105251828_45_length_7499_cov_22.059550"	7499
GCA_014168955.1	DRR199263	0.263171478439669	0.736828521560331	"Plasmid"	"DRR199263_202105251828_46_length_6504_cov_14.727301"	6504
GCA_014168955.1	DRR199263	0.187097531435523	0.812902468564477	"Plasmid"	"DRR199263_202105251828_47_length_6253_cov_13.385406"	6253
GCA_014168955.1	DRR199263	0.0242653959446909	0.975734604055309	"Plasmid"	"DRR199263_202105251828_48_length_5294_cov_214.673118"	5294
GCA_014168955.1	DRR199263	0.0382585501020235	0.961741449897976	"Plasmid"	"DRR199263_202105251828_49_length_4973_cov_13.509905"	4973
GCA_014168955.1	DRR199263	0.955367477291267	0.0446325227087331	"Chromosome"	"DRR199263_202105251828_50_length_4964_cov_21.503825"	4964
GCA_014168955.1	DRR199263	0.976096997371018	0.0239030026289825	"Chromosome"	"DRR199263_202105251828_51_length_4925_cov_157.255732"	4925
GCA_014168955.1	DRR199263	0.069159440780732	0.930840559219268	"Plasmid"	"DRR199263_202105251828_52_length_4431_cov_14.209108"	4431
GCA_014168955.1	DRR199263	0.944578739318296	0.0554212606817043	"Chromosome"	"DRR199263_202105251828_53_length_4369_cov_26.625413"	4369
GCA_014168955.1	DRR199263	0.223508866742058	0.776491133257942	"Plasmid"	"DRR199263_202105251828_54_length_4214_cov_349.647174"	4214
GCA_014168955.1	DRR199263	0.975366504163763	0.0246334958362369	"Chromosome"	"DRR199263_202105251828_55_length_4150_cov_18.112603"	4150
GCA_014168955.1	DRR199263	0.0673733721449428	0.932626627855057	"Plasmid"	"DRR199263_202105251828_56_length_3877_cov_15.996267"	3877
GCA_014168955.1	DRR199263	0.927435233567597	0.0725647664324025	"Chromosome"	"DRR199263_202105251828_57_length_2583_cov_68.838355"	2583
GCA_014168955.1	DRR199263	0.493193676402158	0.506806323597842	"Plasmid"	"DRR199263_202105251828_58_length_2532_cov_57.134719"	2532
GCA_014168955.1	DRR199263	0.0139334775494234	0.986066522450577	"Plasmid"	"DRR199263_202105251828_59_length_1676_cov_1167.213686"	1676
