#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_38_length_11060_cov_42.213785	1486	1661	ant(3'')-Ia_1	1-184/972	===...../......	4/8	18.11	94.56	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_38_length_11060_cov_42.213785	1658	2155	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	resfinder~~~dfrA12_8~~~AM040708 dfrA12_8
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_38_length_11060_cov_42.213785	2553	3354	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	resfinder~~~aadA2_1~~~NC_010870 aadA2_1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_38_length_11060_cov_42.213785	3832	4698	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_38_length_11060_cov_42.213785	9993	10914	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	resfinder~~~mph(A)_2~~~U36578 mph(A)_2
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_42_length_8846_cov_38.045273	1006	2252	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	resfinder~~~tet(A)_6~~~AF534183 tet(A)_6
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_10_length_184135_cov_32.465620	65988	66854	blaSHV-187_1	1-867/867	===============	0/0	100.00	99.42	resfinder	LN515533	resfinder~~~blaSHV-187_1~~~LN515533 blaSHV-187_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_13_length_163307_cov_41.850407	140146	140565	fosA_3	1-420/420	===============	0/0	100.00	99.05	resfinder	ACWO01000079	resfinder~~~fosA_3~~~ACWO01000079 fosA_3
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_53_length_11362_cov_54.881347	11089	11362	sul2_21	1-274/816	======.........	0/0	33.58	100.00	resfinder	AB366440	resfinder~~~sul2_21~~~AB366440 sul2_21
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	140	306	ant(3'')-Ia_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	414	1013	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	resfinder~~~aac(6')-Ib-cr_1~~~DQ303918 aac(6')-Ib-cr_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	1070	1562	ARR-3_4	51-543/543	.==============	0/0	90.79	99.19	resfinder	FM207631	resfinder~~~ARR-3_4~~~FM207631 ARR-3_4
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	1695	2168	dfrA27_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ459817	resfinder~~~dfrA27_1~~~FJ459817 dfrA27_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	2349	3194	aadA16_1	1-846/846	===============	0/0	100.00	99.64	resfinder	EU675686	resfinder~~~aadA16_1~~~EU675686 aadA16_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	3625	4491	sul1_5	1-867/867	===============	0/0	100.00	99.77	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	7902	8546	qnrB6_2	1-645/645	===============	0/0	100.00	100.00	resfinder	EF523819	resfinder~~~qnrB6_2~~~EF523819 qnrB6_2
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_54_length_11030_cov_74.262942	9091	9957	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_61_length_1992_cov_42.255875	167	988	lnu(F)_1	1-822/822	===============	0/0	100.00	100.00	resfinder	EU118119	resfinder~~~lnu(F)_1~~~EU118119 lnu(F)_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_61_length_1992_cov_42.255875	1120	1932	aadA2_1	7-819/819	===============	0/0	99.27	96.19	resfinder	NC_010870	resfinder~~~aadA2_1~~~NC_010870 aadA2_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_61_length_1992_cov_42.255875	1917	1974	aac(3)-Ib_1	1-58/531	==.............	0/0	10.92	100.00	resfinder	L06157	resfinder~~~aac(3)-Ib_1~~~L06157 aac(3)-Ib_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_65_length_1620_cov_160.594945	1	138	aph(6)-Id_1	1-138/837	===............	0/0	16.49	100.00	resfinder	M28829	resfinder~~~aph(6)-Id_1~~~M28829 aph(6)-Id_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_65_length_1620_cov_160.594945	138	941	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	resfinder~~~aph(3'')-Ib_5~~~AF321551 aph(3'')-Ib_5
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_65_length_1620_cov_160.594945	1002	1620	sul2_3	198-816/816	...============	0/0	75.86	100.00	resfinder	HQ840942	resfinder~~~sul2_3~~~HQ840942 sul2_3
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_67_length_1547_cov_48.206803	165	806	catA2_1	1-642/642	===============	0/0	100.00	96.11	resfinder	X53796	resfinder~~~catA2_1~~~X53796 catA2_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_68_length_1530_cov_175.766001	522	1382	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	resfinder~~~blaTEM-1B_1~~~AY458016 Alternate name; RblaTEM-1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_78_length_718_cov_88.468019	1	69	aph(6)-Id_1	769-837/837	.............==	0/0	8.24	100.00	resfinder	M28829	resfinder~~~aph(6)-Id_1~~~M28829 aph(6)-Id_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_7_length_214708_cov_39.057378	206924	210076	oqxB_1	1-3153/3153	===============	0/0	100.00	98.95	resfinder	EU370913	resfinder~~~oqxB_1~~~EU370913 oqxB_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_7_length_214708_cov_39.057378	210100	211275	oqxA_1	1-1176/1176	===============	0/0	100.00	99.92	resfinder	EU370913	resfinder~~~oqxA_1~~~EU370913 oqxA_1
KLP-JSC-RGN-105468.fna	KLP-JSC-RGN-105468_202103232141_81_length_706_cov_199.801272	1	698	aph(6)-Id_1	140-837/837	..=============	0/0	83.39	100.00	resfinder	M28829	resfinder~~~aph(6)-Id_1~~~M28829 aph(6)-Id_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_11_length_176787_cov_56.579854	101261	102493	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.97	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	45557	46372	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	resfinder~~~sul2_2~~~AY034138 sul2_2
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	105934	106800	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	107322	108122	blaOXA-10_1	1-801/801	===============	0/0	100.00	100.00	resfinder	J03427	resfinder~~~blaOXA-10_1~~~J03427 Alternate name; PSE-2
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	108203	108782	aac(6')-Ib_1	27-606/606	===============	0/0	95.71	99.83	resfinder	M21682	resfinder~~~aac(6')-Ib_1~~~M21682 aac(6')-Ib_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	108842	109474	catB2_1	1-633/633	===============	0/0	100.00	99.84	resfinder	AF047479	resfinder~~~catB2_1~~~AF047479 catB2_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	109527	110328	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	110411	110884	dfrA1_10	1-474/474	===============	0/0	100.00	99.79	resfinder	AF203818	resfinder~~~dfrA1_10~~~AF203818 dfrA1_10
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	110901	111068	ant(3'')-Ia_1	1-175/972	===...../......	3/7	17.28	96.00	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105444.fna	ECO-JSC-RGN-105444_202103232141_12_length_168057_cov_96.605554	117601	118461	blaSHV-3_1	1-861/861	===============	0/0	100.00	99.88	resfinder	KX092356	resfinder~~~blaSHV-3_1~~~KX092356 blaSHV-3_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_104_length_532_cov_126.527473	59	532	aadA2_1	346-819/819	......=========	0/0	57.88	100.00	resfinder	NC_010870	resfinder~~~aadA2_1~~~NC_010870 aadA2_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_19_length_86233_cov_65.627141	20950	22095	blaCMY-2_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	X91840	resfinder~~~blaCMY-2_1~~~X91840 blaCMY-2_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_1_length_762943_cov_28.133158	654475	655707	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.46	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_44_length_6590_cov_70.104407	147	1068	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	resfinder~~~mph(A)_2~~~U36578 mph(A)_2
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_55_length_3855_cov_154.160402	1056	2302	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	resfinder~~~tet(A)_6~~~AF534183 tet(A)_6
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_56_length_3700_cov_118.336461	1793	2584	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	resfinder~~~sul3_2~~~AJ459418 sul3_2
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_60_length_2555_cov_90.192897	132	933	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_60_length_2555_cov_90.192897	1016	2275	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	resfinder~~~cmlA1_1~~~M64556 cmlA1_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_62_length_2308_cov_67.269834	2211	2308	ant(3'')-Ia_1	76-173/972	.==............	0/0	10.08	100.00	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_64_length_2073_cov_74.473447	923	2073	tet(M)_8	1-1151/1920	=========......	0/0	59.95	98.17	resfinder	X04388	resfinder~~~tet(M)_8~~~X04388 tet(M)_8
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_71_length_1383_cov_88.700613	1	87	ant(3'')-Ia_1	97-184/972	.==...../......	1/1	8.95	96.59	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_71_length_1383_cov_88.700613	84	581	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	resfinder~~~dfrA12_8~~~AM040708 dfrA12_8
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_71_length_1383_cov_88.700613	979	1383	aadA2_1	18-422/819	========.......	0/0	49.45	99.75	resfinder	NC_010870	resfinder~~~aadA2_1~~~NC_010870 aadA2_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_76_length_1192_cov_52.877130	164	979	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	100.00	resfinder	V00359	resfinder~~~aph(3')-Ia_1~~~V00359 aph(3')-Ia_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_77_length_1179_cov_177.465517	148	1008	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	resfinder~~~blaTEM-1B_1~~~AY458016 Alternate name; RblaTEM-1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_78_length_1136_cov_63.443815	165	986	lnu(F)_1	1-822/822	===============	0/0	100.00	100.00	resfinder	EU118119	resfinder~~~lnu(F)_1~~~EU118119 lnu(F)_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_82_length_1038_cov_77.620187	493	1038	tet(M)_6	1375-1920/1920	..........=====	0/0	28.44	97.62	resfinder	M21136	resfinder~~~tet(M)_6~~~M21136 tet(M)_6
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_85_length_915_cov_334.455847	771	915	ant(3'')-Ia_1	1-152/972	===...../......	3/7	14.92	95.39	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105239.fna	ECO-JSC-RGN-105239_202103232141_86_length_875_cov_34.097744	1	77	tet(M)_1	1844-1920/1920	..............=	0/0	4.01	100.00	resfinder	X92947	resfinder~~~tet(M)_1~~~X92947 tet(M)_1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_13_length_166733_cov_20.423585	99711	100943	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_68_length_3317_cov_19.088889	1820	2695	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	resfinder~~~blaCTX-M-15_1~~~AY044436 Alternate name; UOE-1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_71_length_2754_cov_19.303325	121	981	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	99.77	resfinder	X51534	resfinder~~~aac(3)-IIa_1~~~X51534 aac(3)-IIa_1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_76_length_2340_cov_21.401237	124	723	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	resfinder~~~aac(6')-Ib-cr_1~~~DQ303918 aac(6')-Ib-cr_1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_76_length_2340_cov_21.401237	854	1684	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	resfinder~~~blaOXA-1_1~~~HQ170510 blaOXA-1_1
ECO-JSC-RGN-103802.fna	ECO-JSC-RGN-103802_202103232141_76_length_2340_cov_21.401237	1822	2266	catB3_1	1-445/633	===========....	0/0	70.30	99.78	resfinder	AJ009818	resfinder~~~catB3_1~~~AJ009818 catB3_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_10_length_211629_cov_50.533259	39546	40721	oqxA_1	1-1176/1176	===============	0/0	100.00	99.58	resfinder	EU370913	resfinder~~~oqxA_1~~~EU370913 oqxA_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_10_length_211629_cov_50.533259	40745	43897	oqxB_1	1-3153/3153	===============	0/0	100.00	98.70	resfinder	EU370913	resfinder~~~oqxB_1~~~EU370913 oqxB_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_23_length_61507_cov_44.272831	185	1045	blaSHV-110_1	1-861/861	===============	0/0	100.00	99.77	resfinder	HQ877615	resfinder~~~blaSHV-110_1~~~HQ877615 blaSHV-110_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_42_length_7424_cov_71.074588	1	105	tet(A)_1	1096-1200/1200	.............==	0/0	8.75	100.00	resfinder	AJ313332	resfinder~~~tet(A)_1~~~AJ313332 tet(A)_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_44_length_6369_cov_47.636682	1	105	tet(A)_6	1171-1275/1275	.............==	0/0	8.24	100.00	resfinder	AF534183	resfinder~~~tet(A)_6~~~AF534183 tet(A)_6
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_44_length_6369_cov_47.636682	706	1919	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	resfinder~~~floR_2~~~AF118107 floR_2
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_46_length_5571_cov_49.392428	498	1364	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_4_length_349151_cov_57.044157	13993	14412	fosA6_1	1-420/433	===============	0/0	97.00	99.05	resfinder	KU254579	resfinder~~~fosA6_1~~~KU254579 fosA6_1
KLP-JSC-RGN-105178.fna	KLP-JSC-RGN-105178_202103232141_50_length_4220_cov_108.433985	716	1576	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	resfinder~~~aac(3)-IId_1~~~EU022314 aac(3)-IId_1
