GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,GCA_014169115.1_ASM1416911v1_202109171340_110_length_3072_cov_358.917863
GCA_013745955.1_ASM1374595v1,plasmid_AA525,CP056359.1,GCA_013745955.1_ASM1374595v1_202109200955_37_length_4243_cov_283.312925
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,GCA_014168935.1_ASM1416893v1_202109200955_29_length_44048_cov_15.832859
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,GCA_014168935.1_ASM1416893v1_202109200955_44_length_24483_cov_17.993882
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,GCA_014168935.1_ASM1416893v1_202109200955_62_length_3008_cov_16.414439
GCA_014168935.1_ASM1416893v1,plasmid_AA327,AP022031.1,GCA_014168935.1_ASM1416893v1_202109200955_65_length_2746_cov_12.344406
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,GCA_014168935.1_ASM1416893v1_202109200955_53_length_11187_cov_22.355063
GCA_014168935.1_ASM1416893v1,plasmid_AC082,AP022030.1,GCA_014168935.1_ASM1416893v1_202109200955_59_length_6337_cov_17.567794
GCA_014169455.1_ASM1416945v1,plasmid_AA579,AP022176.1,GCA_014169455.1_ASM1416945v1_202109200955_96_length_4149_cov_146.527259
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_42_length_41505_cov_40.700517
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_54_length_30249_cov_44.711786
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_84_length_10025_cov_43.612585
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_89_length_6793_cov_35.260721
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_97_length_3943_cov_38.614847
GCA_014169455.1_ASM1416945v1,plasmid_AA282,AP022174.1,GCA_014169455.1_ASM1416945v1_202109200955_113_length_1097_cov_45.616667
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,GCA_014169455.1_ASM1416945v1_202109200955_59_length_25686_cov_30.519466
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,GCA_014169455.1_ASM1416945v1_202109200955_67_length_17757_cov_31.499208
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,GCA_014169455.1_ASM1416945v1_202109200955_80_length_11488_cov_31.856542
GCA_014169455.1_ASM1416945v1,plasmid_AA338,AP022175.1,GCA_014169455.1_ASM1416945v1_202109200955_92_length_5044_cov_31.235756
GCA_013834305.1_ASM1383430v1,plasmid_AA159,CP057457.1,GCA_013834305.1_ASM1383430v1_202109200955_26_length_6938_cov_344.001175
GCA_013834305.1_ASM1383430v1,plasmid_AA304,CP057456.1,GCA_013834305.1_ASM1383430v1_202109200955_15_length_94105_cov_23.191460
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_39_length_41165_cov_15.448963
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_80_length_7244_cov_15.346728
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_82_length_6954_cov_14.800349
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_83_length_6793_cov_15.260423
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_87_length_5725_cov_15.388102
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_90_length_5060_cov_17.235200
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_95_length_4523_cov_17.691183
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_98_length_4094_cov_16.006970
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_99_length_4089_cov_14.053838
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_101_length_3623_cov_12.997462
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_103_length_3272_cov_14.916432
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_106_length_2665_cov_53.323416
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_114_length_1927_cov_16.024324
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022177.1,GCA_014169475.1_ASM1416947v1_202109200955_115_length_1904_cov_15.256705
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_115_length_1904_cov_15.256705
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_116_length_1834_cov_18.514513
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_120_length_1586_cov_31.939695
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_120_length_1586_cov_31.939695
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_124_length_1454_cov_14.312999
GCA_014169475.1_ASM1416947v1,plasmid_AA887,AP022178.1,GCA_014169475.1_ASM1416947v1_202109200955_127_length_1328_cov_15.011990
GCA_014169475.1_ASM1416947v1,plasmid_AA149,AP022181.1,GCA_014169475.1_ASM1416947v1_202109200955_94_length_4568_cov_600.060120
GCA_014169475.1_ASM1416947v1,plasmid_AA579,AP022182.1,GCA_014169475.1_ASM1416947v1_202109200955_97_length_4151_cov_421.956063
GCA_014169475.1_ASM1416947v1,plasmid_novel_6ffa7bb3a48382c6bf9abba8e1d1e62e,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_60_length_19997_cov_13.557078
GCA_014169475.1_ASM1416947v1,plasmid_novel_6ffa7bb3a48382c6bf9abba8e1d1e62e,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_91_length_4994_cov_15.417124
GCA_014169475.1_ASM1416947v1,plasmid_novel_6ffa7bb3a48382c6bf9abba8e1d1e62e,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_102_length_3370_cov_16.052232
GCA_014169475.1_ASM1416947v1,plasmid_AA977,AP022180.1,GCA_014169475.1_ASM1416947v1_202109200955_89_length_5243_cov_634.762873
GCA_014169475.1_ASM1416947v1,plasmid_novel_3ee7e34fce30f80ca0bb3f2aab2d6ed5,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_71_length_12960_cov_11.714818
GCA_014169475.1_ASM1416947v1,plasmid_novel_3ee7e34fce30f80ca0bb3f2aab2d6ed5,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_74_length_9739_cov_10.421859
GCA_014169475.1_ASM1416947v1,plasmid_novel_3ee7e34fce30f80ca0bb3f2aab2d6ed5,AP022179.1,GCA_014169475.1_ASM1416947v1_202109200955_85_length_5803_cov_14.268599
GCA_014168675.1_ASM1416867v1,plasmid_AB957,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_41_length_8239_cov_11.783531
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_28_length_52371_cov_12.019753
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_37_length_15735_cov_11.827717
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_39_length_10236_cov_13.371055
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_40_length_9880_cov_12.828053
GCA_014168675.1_ASM1416867v1,plasmid_AA176,AP021934.1,GCA_014168675.1_ASM1416867v1_202109200955_42_length_6669_cov_10.422501
GCA_013815235.1_ASM1381523v1,plasmid_AA475,CP057134.1,GCA_013815235.1_ASM1381523v1_202109200955_21_length_54492_cov_12.237837
GCA_013815235.1_ASM1381523v1,plasmid_AA475,CP057134.1,GCA_013815235.1_ASM1381523v1_202109200955_27_length_31034_cov_11.684440
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057135.1,GCA_013815235.1_ASM1381523v1_202109200955_19_length_62542_cov_26.834463
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057135.1,GCA_013815235.1_ASM1381523v1_202109200955_32_length_12519_cov_26.310523
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057135.1,GCA_013815235.1_ASM1381523v1_202109200955_38_length_6909_cov_25.957078
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057134.1,GCA_013815235.1_ASM1381523v1_202109200955_46_length_1960_cov_20.587016
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057134.1,GCA_013815235.1_ASM1381523v1_202109200955_46_length_1960_cov_20.587016
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057133.1,GCA_013815235.1_ASM1381523v1_202109200955_53_length_1234_cov_92.693767
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057133.1,GCA_013815235.1_ASM1381523v1_202109200955_53_length_1234_cov_92.693767
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057133.1,GCA_013815235.1_ASM1381523v1_202109200955_53_length_1234_cov_92.693767
GCA_013815235.1_ASM1381523v1,plasmid_AA314,CP057133.1,GCA_013815235.1_ASM1381523v1_202109200955_53_length_1234_cov_92.693767
GCA_013795795.1_ASM1379579v1,plasmid_AA173,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_37_length_14003_cov_51.395735
GCA_013795795.1_ASM1379579v1,plasmid_AA173,CP056873.1,GCA_013795795.1_ASM1379579v1_202109200955_39_length_12584_cov_34.714640
GCA_013795795.1_ASM1379579v1,plasmid_AA173,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_43_length_11068_cov_49.892366
GCA_013795795.1_ASM1379579v1,plasmid_AA173,CP056873.1,GCA_013795795.1_ASM1379579v1_202109200955_74_length_1368_cov_85.645236
GCA_013795795.1_ASM1379579v1,plasmid_AA173,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_74_length_1368_cov_85.645236
GCA_013795795.1_ASM1379579v1,plasmid_AB953,CP056873.1,GCA_013795795.1_ASM1379579v1_202109200955_58_length_2969_cov_33.305671
GCA_013795795.1_ASM1379579v1,plasmid_AB953,CP056873.1,GCA_013795795.1_ASM1379579v1_202109200955_63_length_2424_cov_36.674904
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_28_length_45136_cov_91.290575
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_32_length_24153_cov_66.332115
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_44_length_10754_cov_89.058443
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_45_length_10703_cov_44.266046
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_47_length_6562_cov_97.673092
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_55_length_3439_cov_136.610351
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_55_length_3439_cov_136.610351
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_59_length_2956_cov_92.827023
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_64_length_2354_cov_235.820378
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_64_length_2354_cov_235.820378
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_64_length_2354_cov_235.820378
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_64_length_2354_cov_235.820378
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_67_length_1974_cov_46.886663
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056874.1,GCA_013795795.1_ASM1379579v1_202109200955_73_length_1414_cov_120.654450
GCA_013795795.1_ASM1379579v1,plasmid_AA336,CP056875.1,GCA_013795795.1_ASM1379579v1_202109200955_73_length_1414_cov_120.654450
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,GCA_013899605.1_ASM1389960v1_202109200955_21_length_73265_cov_33.261723
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,GCA_013899605.1_ASM1389960v1_202109200955_33_length_13765_cov_36.784264
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,GCA_013899605.1_ASM1389960v1_202109200955_37_length_9599_cov_34.381643
GCA_013899605.1_ASM1389960v1,plasmid_AA304,CP057886.1,GCA_013899605.1_ASM1389960v1_202109200955_42_length_3662_cov_35.894561
GCA_013899605.1_ASM1389960v1,plasmid_AB442,CP057887.1,GCA_013899605.1_ASM1389960v1_202109200955_41_length_4748_cov_1183.187540
GCA_013830785.1_ASM1383078v1,plasmid_AF576,CP057397.1,GCA_013830785.1_ASM1383078v1_202109151627_36_length_40329_cov_12.577907
GCA_013830785.1_ASM1383078v1,plasmid_AF576,CP057397.1,GCA_013830785.1_ASM1383078v1_202109151627_66_length_5428_cov_15.136389
GCA_013830785.1_ASM1383078v1,plasmid_AF576,CP057397.1,GCA_013830785.1_ASM1383078v1_202109151627_72_length_4456_cov_13.014784
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_42_length_30143_cov_14.169743
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_46_length_21165_cov_20.364721
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_47_length_21086_cov_13.664202
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,GCA_013830785.1_ASM1383078v1_202109151627_61_length_7412_cov_21.240357
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_64_length_6822_cov_12.224197
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_68_length_5004_cov_14.826123
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,GCA_013830785.1_ASM1383078v1_202109151627_80_length_2041_cov_35.443051
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_80_length_2041_cov_35.443051
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057397.1,GCA_013830785.1_ASM1383078v1_202109151627_84_length_1864_cov_29.252159
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057400.1,GCA_013830785.1_ASM1383078v1_202109151627_84_length_1864_cov_29.252159
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_87_length_1743_cov_18.769183
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_89_length_1388_cov_15.023791
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057398.1,GCA_013830785.1_ASM1383078v1_202109151627_89_length_1388_cov_15.023791
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057399.1,GCA_013830785.1_ASM1383078v1_202109151627_90_length_1384_cov_17.556881
GCA_013830785.1_ASM1383078v1,plasmid_AA279,CP057398.1,GCA_013830785.1_ASM1383078v1_202109151627_90_length_1384_cov_17.556881
