snp-dists 0.8.2	ECO-JSC-RGN-103794	ECO-JSC-RGN-103882	ECO-JSC-RGN-105232	ECO-JSC-RGN-103752	ECO-JSC-RGN-103760	ECO-JSC-RGN-103820	ECO-JSC-RGN-104568	ECO-JSC-RGN-103862	ECO-JSC-RGN-104210	ECO-JSC-RGN-103864	ECO-JSC-RGN-104196	ECO-JSC-RGN-105455	ECO-JSC-RGN-103802	ECO-JSC-RGN-103881	ECO-JSC-RGN-103895	ECO-JSC-RGN-104211	ECO-JSC-RGN-103890	ECO-JSC-RGN-104212	ECO-JSC-RGN-104552	ECO-JSC-RGN-104536	ECO-JSC-RGN-103681	ECO-JSC-RGN-104555	ECO-JSC-RGN-103856	ECO-JSC-RGN-103896	ECO-JSC-RGN-104562	ECO-JSC-RGN-103695	ECO-JSC-RGN-105446	ECO-JSC-RGN-103701	ECO-JSC-RGN-105235	ECO-JSC-RGN-103892	ECO-JSC-RGN-105243	ECO-JSC-RGN-104243	ECO-JSC-RGN-103871	ECO-JSC-RGN-103770	ECO-JSC-RGN-103777	ECO-JSC-RGN-104565	ECO-JSC-RGN-103797	ECO-JSC-MOD-104873	ECO-JSC-RGN-104546	ECO-JSC-RGN-105251	KLP-JSC-MOD-104895	ECO-JSC-RGN-103678	ECO-JSC-RGN-105250	ECO-JSC-RGN-104232	ECO-JSC-RGN-103721	ECO-JSC-RGN-104542	ECO-JSC-RGN-104205	ECO-JSC-RGN-105230	ECO-JSC-RGN-103679	ECO-JSC-RGN-103684	ECO-JSC-RGN-105248	ECO-JSC-RGN-105245	ECO-JSC-RGN-103778	ECO-JSC-RGN-105238	ECO-JSC-RGN-103761	ECO-JSC-RGN-103833	ECO-JSC-MOD-104868	ECO-JSC-RGN-103710	ECO-JSC-RGN-103801	ECO-JSC-RGN-103771	ECO-JSC-RGN-103754	ECO-JSC-RGN-103687	ECO-JSC-RGN-105447	ECO-JSC-RGN-103785	ECO-JSC-RGN-103870	ECO-JSC-RGN-103817	ECO-JSC-RGN-103834	ECO-JSC-RGN-103805	ECO-JSC-RGN-103747	ECO-JSC-RGN-104229	ECO-JSC-RGN-103705	ECO-JSC-MOD-104872	ECO-JSC-MOD-104875	ECO-JSC-RGN-105252	ECO-JSC-RGN-103746	ECO-JSC-RGN-103737	ECO-JSC-RGN-103720	ECO-JSC-RGN-103675	ECO-JSC-RGN-105249	ECO-JSC-RGN-104544	ECO-JSC-RGN-103789	ECO-JSC-RGN-103689	ECO-JSC-RGN-103758	ECO-JSC-RGN-103693	ECO-JSC-RGN-103793	ECO-JSC-RGN-104540	ECO-JSC-RGN-104224	ECO-JSC-RGN-103688	ECO-JSC-RGN-103781	ECO-JSC-RGN-103709	ECO-JSC-RGN-104553	ECO-JSC-RGN-103779	ECO-JSC-RGN-103889	ECO-JSC-RGN-105452	ECO-JSC-RGN-103841	ECO-JSC-RGN-103796	ECO-JSC-RGN-104549	ECO-JSC-RGN-103791
ECO-JSC-RGN-104196	12	1083	7	12	10	7	10	7	8	7	0	7	15	16	13	7	13	11	12	7	1084	11	8	7	8	10	7	10	7	9	11	7	7	9	7	10	7	9	6	11	9	7	11	9	11	11	7	10	10	1086	11	11	10	6	1083	30	8	1084	9	7	7	8	10	1087	7	8	30	13	384	1087	6	40	7	12	7	8	7	9	10	11	10	6	6	9	9	13	9	8	9	10	11	7	8	10	9	9	10	10
ECO-JSC-RGN-105455	7	1078	0	7	5	0	5	2	3	2	7	0	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103802	15	1086	10	11	11	10	13	10	11	10	15	10	0	15	12	10	16	14	15	10	1087	14	11	10	11	9	10	9	10	12	14	10	10	8	10	11	10	12	9	14	12	10	14	8	14	14	10	11	9	1089	14	14	9	9	1086	33	11	1087	12	10	10	11	9	1090	10	11	33	16	387	1090	9	43	10	15	10	9	10	8	13	14	13	9	9	8	12	16	8	11	12	13	14	10	7	13	12	12	9	13
ECO-JSC-RGN-103881	16	1087	11	12	12	11	14	11	12	11	16	11	15	0	13	11	17	15	16	11	1088	15	12	11	12	10	11	10	11	13	15	11	11	9	11	12	11	13	10	15	13	11	15	9	15	15	11	12	10	1090	15	15	10	10	1087	34	12	1088	13	11	11	12	10	1091	11	12	34	17	388	1091	10	44	11	16	11	8	11	9	14	15	14	10	10	9	13	17	9	12	13	14	15	11	8	14	13	13	10	14
ECO-JSC-RGN-103895	13	1084	8	9	9	8	11	8	9	8	13	8	12	13	0	8	14	12	13	8	1085	12	9	8	9	7	8	7	8	10	12	8	8	6	8	9	8	10	7	12	10	8	12	6	12	12	8	9	7	1087	12	12	7	7	1084	31	9	1085	10	8	8	9	7	1088	8	9	31	14	385	1088	7	41	8	13	8	7	8	6	11	12	11	7	7	6	10	14	6	9	10	11	12	8	5	11	10	10	7	11
ECO-JSC-RGN-104211	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	0	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103890	13	1084	8	13	11	8	11	8	9	8	13	8	16	17	14	8	0	12	13	8	1085	12	9	8	9	11	8	11	8	10	12	8	8	10	8	11	8	10	7	12	10	8	12	10	12	12	8	11	11	1087	12	12	11	7	1084	31	9	1085	10	8	8	9	11	1088	8	9	31	14	385	1088	7	41	8	13	8	9	8	10	11	12	11	7	7	10	10	14	10	9	10	11	12	8	9	11	10	10	11	11
ECO-JSC-RGN-104212	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	0	11	6	1083	10	7	6	7	9	6	9	6	8	10	6	6	8	6	9	6	8	5	10	8	6	10	8	10	10	6	9	9	1085	10	10	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	9	10	9	5	5	8	8	12	8	7	8	9	10	6	7	9	8	8	9	9
ECO-JSC-RGN-104552	12	1083	7	12	10	7	10	7	8	7	12	7	15	16	13	7	13	11	0	7	1084	1	8	7	8	10	7	10	7	9	1	7	7	9	7	10	7	9	6	11	9	7	1	9	11	11	7	10	10	1086	1	1	10	6	1083	30	8	1084	9	7	7	8	10	1087	7	8	30	13	384	1087	6	40	7	12	7	8	7	9	2	11	10	6	6	9	9	13	9	8	9	10	1	7	8	10	9	9	10	10
ECO-JSC-RGN-104536	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	0	1079	6	3	2	3	5	2	5	0	4	6	2	2	4	2	5	2	4	1	6	2	0	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	1	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	1	4	5	6	2	3	5	4	2	5	5
ECO-JSC-RGN-103681	1084	5	1079	1084	1082	1079	1082	1079	1080	1079	1084	1079	1087	1088	1085	1079	1085	1083	1084	1079	0	1083	1080	1079	1080	1082	1079	1082	1079	1081	1083	1079	1079	1081	1079	1082	1079	1081	1078	1083	1081	1079	1083	1081	1083	1083	1079	1082	1082	8	1083	1083	1082	1078	7	1084	1080	8	1081	1079	1079	1080	1082	9	1079	1080	1084	1084	1090	11	1078	1076	1079	1084	1079	1080	1079	1081	1082	1083	1082	1078	1078	1081	1081	1085	1081	1080	1081	1082	1083	1079	1080	1082	1081	1081	1082	1082
ECO-JSC-RGN-104555	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-103856	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	3	1080	7	0	3	4	6	3	6	3	5	7	3	3	5	3	6	3	5	2	7	5	3	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	4	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	4	5	6	7	3	4	6	5	5	6	6
ECO-JSC-RGN-103896	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	0	3	5	2	5	2	4	6	2	0	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	0	3	25	8	379	1082	1	35	0	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-104562	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	3	1080	7	4	3	0	6	3	6	3	5	7	3	3	5	3	6	3	5	2	7	5	3	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	4	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	4	5	6	7	3	4	6	5	5	6	6
ECO-JSC-RGN-103695	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	0	5	4	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	4	1084	9	9	4	4	1081	28	6	1082	7	5	5	6	4	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	4	8
ECO-JSC-RGN-105446	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	0	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	0	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103701	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	4	5	0	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	0	1084	9	9	4	4	1081	28	6	1082	7	5	5	6	4	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	4	8
ECO-JSC-RGN-105235	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	0	1079	6	3	2	3	5	2	5	0	4	6	2	2	4	2	5	2	4	1	6	2	0	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	1	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	1	4	5	6	2	3	5	4	2	5	5
ECO-JSC-RGN-103892	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	0	8	4	4	6	4	7	4	6	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	5	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	5	6	7	8	4	5	7	6	6	7	7
ECO-JSC-RGN-105243	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-104243	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	0	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103871	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	0	3	5	2	5	2	4	6	2	0	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	0	3	25	8	379	1082	1	35	0	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103770	9	1080	4	5	5	4	7	4	5	4	9	4	8	9	6	4	10	8	9	4	1081	8	5	4	5	3	4	3	4	6	8	4	4	0	4	5	4	6	3	8	6	4	8	2	8	8	4	5	3	1083	8	8	3	3	1080	27	5	1081	6	4	4	5	3	1084	4	5	27	10	381	1084	3	37	4	9	4	3	4	2	7	8	7	3	3	2	6	10	2	5	6	7	8	4	1	7	6	6	3	7
ECO-JSC-RGN-103777	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	0	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-104565	10	1081	5	8	4	5	8	5	6	5	10	5	11	12	9	5	11	9	10	5	1082	9	6	5	6	6	5	6	5	7	9	5	5	5	5	0	5	7	4	9	7	5	9	5	9	9	5	0	6	1084	9	9	6	4	1081	28	6	1082	7	5	5	6	6	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	5	8	9	8	4	4	5	7	11	5	6	7	8	9	5	4	8	7	7	6	8
ECO-JSC-RGN-103797	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	0	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-MOD-104873	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	6	8	4	4	6	4	7	4	0	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	5	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	5	6	7	8	4	5	7	6	6	7	7
ECO-JSC-RGN-104546	6	1077	1	6	4	1	4	1	2	1	6	1	9	10	7	1	7	5	6	1	1078	5	2	1	2	4	1	4	1	3	5	1	1	3	1	4	1	3	0	5	3	1	5	3	5	5	1	4	4	1080	5	5	4	0	1077	24	2	1078	3	1	1	2	4	1081	1	2	24	7	378	1081	0	34	1	6	1	2	1	3	4	5	4	0	0	3	3	7	3	2	3	4	5	1	2	4	3	3	4	4
ECO-JSC-RGN-105251	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	11	6	1083	10	7	6	7	9	6	9	6	8	10	6	6	8	6	9	6	8	5	0	8	6	10	8	10	2	6	9	9	1085	10	10	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	9	2	9	5	5	8	8	12	8	7	8	9	10	6	7	9	8	8	9	9
KLP-JSC-MOD-104895	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	2	1081	8	5	4	5	7	4	7	2	6	8	4	4	6	4	7	4	6	3	8	0	2	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	3	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	3	6	7	8	4	5	7	6	0	7	7
ECO-JSC-RGN-103678	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	0	1079	6	3	2	3	5	2	5	0	4	6	2	2	4	2	5	2	4	1	6	2	0	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	1	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	1	4	5	6	2	3	5	4	2	5	5
ECO-JSC-RGN-105250	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-104232	9	1080	4	5	5	4	7	4	5	4	9	4	8	9	6	4	10	8	9	4	1081	8	5	4	5	3	4	3	4	6	8	4	4	2	4	5	4	6	3	8	6	4	8	0	8	8	4	5	3	1083	8	8	3	3	1080	27	5	1081	6	4	4	5	3	1084	4	5	27	10	381	1084	3	37	4	9	4	3	4	2	7	8	7	3	3	2	6	10	2	5	6	7	8	4	1	7	6	6	3	7
ECO-JSC-RGN-103721	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	11	6	1083	10	7	6	7	9	6	9	6	8	10	6	6	8	6	9	6	8	5	10	8	6	10	8	0	10	6	9	9	1085	10	10	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	9	10	9	5	5	8	8	12	8	7	8	9	10	6	7	9	8	8	9	9
ECO-JSC-RGN-104542	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	11	6	1083	10	7	6	7	9	6	9	6	8	10	6	6	8	6	9	6	8	5	2	8	6	10	8	10	0	6	9	9	1085	10	10	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	9	0	9	5	5	8	8	12	8	7	8	9	10	6	7	9	8	8	9	9
ECO-JSC-RGN-104205	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	0	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	0	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-105230	10	1081	5	8	4	5	8	5	6	5	10	5	11	12	9	5	11	9	10	5	1082	9	6	5	6	6	5	6	5	7	9	5	5	5	5	0	5	7	4	9	7	5	9	5	9	9	5	0	6	1084	9	9	6	4	1081	28	6	1082	7	5	5	6	6	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	5	8	9	8	4	4	5	7	11	5	6	7	8	9	5	4	8	7	7	6	8
ECO-JSC-RGN-103679	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	4	5	0	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	0	1084	9	9	4	4	1081	28	6	1082	7	5	5	6	4	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	4	8
